page	before	after	folded_from	folded_to
0098a	Λιονύσιος	Διονύσιος	ΛΙΟΝΥΣΙΟΣ	ΔΙΟΝΥΣΙΟΣ
0098a	Φανάσης	Θανάσης	ΦΑΝΑΣΗΣ	ΘΑΝΑΣΗΣ
0098a	Σάχαρη	Ζάχαρη	ΣΑΧΑΡΗ	ΖΑΧΑΡΗ
0099a	Καστέρι	Καστορι	ΚΑΣΤΕΡΙ	ΚΑΣΤΟΡΙ
0099a	Καστέρι	Καστορι	ΚΑΣΤΕΡΙ	ΚΑΣΤΟΡΙ
0101a	Τρίβα	Γρίβα	ΤΡΙΒΑ	ΓΡΙΒΑ
0101a	Σάβρα	Σάββα	ΣΑΒΡΑ	ΣΑΒΒΑ
0105a	Ταξία	Τασία	ΤΑΞΙΑ	ΤΑΣΙΑ
0105a	Καστέρι	Καστορι	ΚΑΣΤΕΡΙ	ΚΑΣΤΟΡΙ
0106a	πειτα	πειρα	ΠΕΙΤΑ	ΠΕΙΡΑ
0107a	Φυσία	Θυσία	ΦΥΣΙΑ	ΘΥΣΙΑ
0108a	πειτα	πειρα	ΠΕΙΤΑ	ΠΕΙΡΑ
0108a	τελετ	τελει	ΤΕΛΕΤ	ΤΕΛΕΙ
0109a	ΣΥΓΚΑΡΗΤΗΡΙΑ	ΣΥΓΧΑΡΗΤΗΡΙΑ	ΣΥΓΚΑΡΗΤΗΡΙΑ	ΣΥΓΧΑΡΗΤΗΡΙΑ
0109a	θρύση	βρύση	ΘΡΥΣΗ	ΒΡΥΣΗ
0109a	θρύση	βρύση	ΘΡΥΣΗ	ΒΡΥΣΗ
0109a	Φράγκες	Φράγκος	ΦΡΑΓΚΕΣ	ΦΡΑΓΚΟΣ
0110a	Ρασιά	Τασιά	ΡΑΣΙΑ	ΤΑΣΙΑ
0112a	ΝΙΚΡΟ	ΜΙΚΡΟ	ΝΙΚΡΟ	ΜΙΚΡΟ
0114a	δέρνα	δέινα	ΔΕΡΝΑ	ΔΕΙΝΑ
0114a	δέρνα	δέινα	ΔΕΡΝΑ	ΔΕΙΝΑ
0115a	γέρον	ιέρον	ΓΕΡΟΝ	ΙΕΡΟΝ
0115a	λόνης	λόυης	ΛΟΝΗΣ	ΛΟΥΗΣ
0115a	σουμε	ζουμε	ΣΟΥΜΕ	ΖΟΥΜΕ
0115a	ταλία	παλία	ΤΑΛΙΑ	ΠΑΛΙΑ
0117a	όπορα	όποια	ΟΠΟΡΑ	ΟΠΟΙΑ
0118a	πηγαίς	πηγαίο	ΠΗΓΑΙΣ	ΠΗΓΑΙΟ
0119a	Λόγγα	Λόγια	ΛΟΓΓΑ	ΛΟΓΙΑ
0119a	εργολάθος	εργολάβος	ΕΡΓΟΛΑΘΟΣ	ΕΡΓΟΛΑΒΟΣ
0120a	εδοποιία	οδοποιία	ΕΔΟΠΟΙΙΑ	ΟΔΟΠΟΙΙΑ
0120a	εδοποιία	οδοποιία	ΕΔΟΠΟΙΙΑ	ΟΔΟΠΟΙΙΑ
0120a	εδοποιία	οδοποιία	ΕΔΟΠΟΙΙΑ	ΟΔΟΠΟΙΙΑ
0121a	Δυκούργου	Λυκούργου	ΔΥΚΟΥΡΓΟΥ	ΛΥΚΟΥΡΓΟΥ
0122a	κάρει	χάρει	ΚΑΡΕΙ	ΧΑΡΕΙ
0122a	ΡΑΜΟΙ	ΓΑΜΟΙ	ΡΑΜΟΙ	ΓΑΜΟΙ
0122a	Αιούς	Ακούς	ΑΙΟΥΣ	ΑΚΟΥΣ
0123a	ΑΦΙΣΕΙΣ	ΑΦΙΞΕΙΣ	ΑΦΙΣΕΙΣ	ΑΦΙΞΕΙΣ
0126a	τερον	ιερον	ΤΕΡΟΝ	ΙΕΡΟΝ
0126a	τέρου	ιέρου	ΤΕΡΟΥ	ΙΕΡΟΥ
0126a	ΕΠΑΣΙΑ	ΕΠΑΞΙΑ	ΕΠΑΣΙΑ	ΕΠΑΞΙΑ
0127a	σελίδος	σελίδες	ΣΕΛΙΔΟΣ	ΣΕΛΙΔΕΣ
0127a	σελίδος	σελίδες	ΣΕΛΙΔΟΣ	ΣΕΛΙΔΕΣ
0129a	Αμοιραία	Αμοιβαία	ΑΜΟΙΡΑΙΑ	ΑΜΟΙΒΑΙΑ
0129a	ΑΦΙΣΕΙΣ	ΑΦΙΞΕΙΣ	ΑΦΙΣΕΙΣ	ΑΦΙΞΕΙΣ
0129a	Καλλιόνη	Καλλιόπη	ΚΑΛΛΙΟΝΗ	ΚΑΛΛΙΟΠΗ
0130a	κατοχ	κατου	ΚΑΤΟΧ	ΚΑΤΟΥ
0130a	νοιαν	ποιαν	ΝΟΙΑΝ	ΠΟΙΑΝ
0132a	Σκιαλά	Σκιαδά	ΣΚΙΑΛΑ	ΣΚΙΑΔΑ
0134a	ΣΥΝΟΔΟΝ	ΣΥΝΟΛΟΝ	ΣΥΝΟΔΟΝ	ΣΥΝΟΛΟΝ
0134a	Φάρρος	Θάρρος	ΦΑΡΡΟΣ	ΘΑΡΡΟΣ
0134a	Φάρρος	Θάρρος	ΦΑΡΡΟΣ	ΘΑΡΡΟΣ
0137a	Γεωπόνες	Γεωπόνος	ΓΕΩΠΟΝΕΣ	ΓΕΩΠΟΝΟΣ
0138a	Καράλαμπος	Χαράλαμπος	ΚΑΡΑΛΑΜΠΟΣ	ΧΑΡΑΛΑΜΠΟΣ
0138a	Τάνος	Πάνος	ΤΑΝΟΣ	ΠΑΝΟΣ
0138a	Ρασιά	Τασιά	ΡΑΣΙΑ	ΤΑΣΙΑ
0138a	ΑΦΙΣΕΙΣ	ΑΦΙΞΕΙΣ	ΑΦΙΣΕΙΣ	ΑΦΙΞΕΙΣ
0139a	ΤΑΎΤΕΤΟΥ	ΤΑΎΓΕΤΟΥ	ΤΑΥΤΕΤΟΥ	ΤΑΥΓΕΤΟΥ
0140a	ΠΙΑΝΝΑΚΑΚΗΣ	ΓΙΑΝΝΑΚΑΚΗΣ	ΠΙΑΝΝΑΚΑΚΗΣ	ΓΙΑΝΝΑΚΑΚΗΣ
0141a	Γιαπράκος	Γιατράκος	ΓΙΑΠΡΑΚΟΣ	ΓΙΑΤΡΑΚΟΣ
0141a	Κέρης	Κορης	ΚΕΡΗΣ	ΚΟΡΗΣ
0143a	Επίτι	Σπίτι	ΕΠΙΤΙ	ΣΠΙΤΙ
0143a	ΡΑΣΙΑ	ΤΑΣΙΑ	ΡΑΣΙΑ	ΤΑΣΙΑ
0144a	ΠΙΑΝΝΑΚΑΚΗΣ	ΓΙΑΝΝΑΚΑΚΗΣ	ΠΙΑΝΝΑΚΑΚΗΣ	ΓΙΑΝΝΑΚΑΚΗΣ
0148a	Μπαλκένι	Μπαλκονι	ΜΠΑΛΚΕΝΙ	ΜΠΑΛΚΟΝΙ
0148a	Λημήτρη	Δημήτρη	ΛΗΜΗΤΡΗ	ΔΗΜΗΤΡΗ
0148a	Κιώτη	Χιώτη	ΚΙΩΤΗ	ΧΙΩΤΗ
0149a	δόματα	δεματα	ΔΟΜΑΤΑ	ΔΕΜΑΤΑ
0150a	λοφτά	λεφτά	ΛΟΦΤΑ	ΛΕΦΤΑ
0150a	λοφτά	λεφτά	ΛΟΦΤΑ	ΛΕΦΤΑ
0150a	λικες	δικες	ΛΙΚΕΣ	ΔΙΚΕΣ
0150a	λοφτά	λεφτά	ΛΟΦΤΑ	ΛΕΦΤΑ
0150a	λοφτά	λεφτά	ΛΟΦΤΑ	ΛΕΦΤΑ
0150a	καρπές	καρτές	ΚΑΡΠΕΣ	ΚΑΡΤΕΣ
0150a	Μέρφης	Μορφης	ΜΕΡΦΗΣ	ΜΟΡΦΗΣ
0150a	ξώστη	σώστη	ΞΩΣΤΗ	ΣΩΣΤΗ
0150a	ξώστη	σώστη	ΞΩΣΤΗ	ΣΩΣΤΗ
0150a	ξώστη	σώστη	ΞΩΣΤΗ	ΣΩΣΤΗ
0152a	κάμνους	κάμπους	ΚΑΜΝΟΥΣ	ΚΑΜΠΟΥΣ
0155a	αμάδια	αμάλια	ΑΜΑΔΙΑ	ΑΜΑΛΙΑ
0155a	ΑΘΗΝΑΞ	ΑΘΗΝΑΣ	ΑΘΗΝΑΞ	ΑΘΗΝΑΣ
0158a	Διενύσιος	Διονύσιος	ΔΙΕΝΥΣΙΟΣ	ΔΙΟΝΥΣΙΟΣ
0158a	Διενύσιου	Διονύσιου	ΔΙΕΝΥΣΙΟΥ	ΔΙΟΝΥΣΙΟΥ
0158a	Διενύσιος	Διονύσιος	ΔΙΕΝΥΣΙΟΣ	ΔΙΟΝΥΣΙΟΣ
0159a	Αρθανίτης	Αρβανίτης	ΑΡΘΑΝΙΤΗΣ	ΑΡΒΑΝΙΤΗΣ
0159a	ΣΕΧΝΑΜΕ	ΞΕΧΝΑΜΕ	ΣΕΧΝΑΜΕ	ΞΕΧΝΑΜΕ
0159a	Αρθανίτης	Αρβανίτης	ΑΡΘΑΝΙΤΗΣ	ΑΡΒΑΝΙΤΗΣ
0159a	προβυμία	προθυμία	ΠΡΟΒΥΜΙΑ	ΠΡΟΘΥΜΙΑ
0160a	Κάλδος	Κάλλος	ΚΑΛΔΟΣ	ΚΑΛΛΟΣ
0160a	Μολέτης	Μελέτης	ΜΟΛΕΤΗΣ	ΜΕΛΕΤΗΣ
0162a	πορία	πορτα	ΠΟΡΙΑ	ΠΟΡΤΑ
0162a	ΣΥΓΚΑΡΗΤΗΡΙΑ	ΣΥΓΧΑΡΗΤΗΡΙΑ	ΣΥΓΚΑΡΗΤΗΡΙΑ	ΣΥΓΧΑΡΗΤΗΡΙΑ
0162a	ατρική	αττική	ΑΤΡΙΚΗ	ΑΤΤΙΚΗ
0162a	θύσιν	φύσιν	ΘΥΣΙΝ	ΦΥΣΙΝ
0164a	Καστέρι	Καστορι	ΚΑΣΤΕΡΙ	ΚΑΣΤΟΡΙ
0164a	Κέντος	Κοντος	ΚΕΝΤΟΣ	ΚΟΝΤΟΣ
0165a	Σταφή	Εταφή	ΣΤΑΦΗ	ΕΤΑΦΗ
0165a	αδήθεια	αλήθεια	ΑΔΗΘΕΙΑ	ΑΛΗΘΕΙΑ
0165a	ΑΔΕΥΡΟΥ	ΑΛΕΥΡΟΥ	ΑΔΕΥΡΟΥ	ΑΛΕΥΡΟΥ
0168a	Σταμάρης	Σταμάτης	ΣΤΑΜΑΡΗΣ	ΣΤΑΜΑΤΗΣ
0168a	ΔΑΚΩΝΙΑΣ	ΛΑΚΩΝΙΑΣ	ΔΑΚΩΝΙΑΣ	ΛΑΚΩΝΙΑΣ
0169a	Γιαπράκος	Γιατράκος	ΓΙΑΠΡΑΚΟΣ	ΓΙΑΤΡΑΚΟΣ
0169a	πειτα	πειρα	ΠΕΙΤΑ	ΠΕΙΡΑ
0170a	Μέρφης	Μορφης	ΜΕΡΦΗΣ	ΜΟΡΦΗΣ
0171a	Λάκκα	Λάικα	ΛΑΚΚΑ	ΛΑΙΚΑ
0172a	ΤΙΑΝΝΑΚΑΚΗΣ	ΓΙΑΝΝΑΚΑΚΗΣ	ΤΙΑΝΝΑΚΑΚΗΣ	ΓΙΑΝΝΑΚΑΚΗΣ
0172a	ΑΦΙΣΕΙΣ	ΑΦΙΞΕΙΣ	ΑΦΙΣΕΙΣ	ΑΦΙΞΕΙΣ
0172a	γιατρ	γιατι	ΓΙΑΤΡ	ΓΙΑΤΙ
0176a	ΑΦΙΣΕΙΣ	ΑΦΙΞΕΙΣ	ΑΦΙΣΕΙΣ	ΑΦΙΞΕΙΣ
0176a	ΑΝΑΚΩΡΗΣΕΙΣ	ΑΝΑΧΩΡΗΣΕΙΣ	ΑΝΑΚΩΡΗΣΕΙΣ	ΑΝΑΧΩΡΗΣΕΙΣ
0176a	Ματούλα	Μαγούλα	ΜΑΤΟΥΛΑ	ΜΑΓΟΥΛΑ
0176a	όρκον	όικον	ΟΡΚΟΝ	ΟΙΚΟΝ
0176a	ΑΛΛΟΙΕ	ΑΛΛΟΤΕ	ΑΛΛΟΙΕ	ΑΛΛΟΤΕ
0176a	είπαι	είναι	ΕΙΠΑΙ	ΕΙΝΑΙ
0179a	άγχης	άρχης	ΑΓΧΗΣ	ΑΡΧΗΣ
0179a	δεκάδος	δεκάδες	ΔΕΚΑΔΟΣ	ΔΕΚΑΔΕΣ
0179a	Αναρά	Ανδρά	ΑΝΑΡΑ	ΑΝΔΡΑ
0179a	ΑΟΥΤΡΑΚΙΟΥ	ΛΟΥΤΡΑΚΙΟΥ	ΑΟΥΤΡΑΚΙΟΥ	ΛΟΥΤΡΑΚΙΟΥ
0002a	ΑΠΟΡΙΑΝΗ	ΑΓΟΡΙΑΝΗ	ΑΠΟΡΙΑΝΗ	ΑΓΟΡΙΑΝΗ
0005b	Πανταξέλος	Πανταζέλος	ΠΑΝΤΑΞΕΛΟΣ	ΠΑΝΤΑΖΕΛΟΣ
0005b	Μονίδης	Μενίδης	ΜΟΝΙΔΗΣ	ΜΕΝΙΔΗΣ
0005b	ΣΤΟΥΡΔΑΣ	ΣΓΟΥΡΔΑΣ	ΣΤΟΥΡΔΑΣ	ΣΓΟΥΡΔΑΣ
0006b	παλαιπωρία	ταλαιπωρία	ΠΑΛΑΙΠΩΡΙΑ	ΤΑΛΑΙΠΩΡΙΑ
0007b	ΦΟΥΝΤΕΙΧΑ	ΦΟΥΝΤΕΙΚΑ	ΦΟΥΝΤΕΙΧΑ	ΦΟΥΝΤΕΙΚΑ
0009a	Αλούτη	Αλούπη	ΑΛΟΥΤΗ	ΑΛΟΥΠΗ
0009a	Χίλιον	Χίλτον	ΧΙΛΙΟΝ	ΧΙΛΤΟΝ
0009a	Μπόλκα	Μπελκα	ΜΠΟΛΚΑ	ΜΠΕΛΚΑ
0013a	Καδολάρη	Καδελάρη	ΚΑΔΟΛΑΡΗ	ΚΑΔΕΛΑΡΗ
0017a	Εράσιδου	Βράσιδου	ΕΡΑΣΙΔΟΥ	ΒΡΑΣΙΔΟΥ
0017b	ΚΑΘΕΝΤΖΗΣ	ΚΑΦΕΝΤΖΗΣ	ΚΑΘΕΝΤΖΗΣ	ΚΑΦΕΝΤΖΗΣ
0017b	ΠΕΑΛΑΝΑ	ΠΕΛΛΑΝΑ	ΠΕΑΛΑΝΑ	ΠΕΛΛΑΝΑ
0020a	Πατρονικέλα	Πατρονικολα	ΠΑΤΡΟΝΙΚΕΛΑ	ΠΑΤΡΟΝΙΚΟΛΑ
0020a	Μπέγρης	Μπογρης	ΜΠΕΓΡΗΣ	ΜΠΟΓΡΗΣ
0020a	ΓΚΟΥΣΟΥΛΗΣ	ΓΚΟΥΖΟΥΛΗΣ	ΓΚΟΥΣΟΥΛΗΣ	ΓΚΟΥΖΟΥΛΗΣ
0020b	ΠΑΠΑΘΕΟΦΙΔΟΠΟΥΛΟΥ	ΠΑΠΑΘΕΟΦΙΛΟΠΟΥΛΟΥ	ΠΑΠΑΘΕΟΦΙΔΟΠΟΥΛΟΥ	ΠΑΠΑΘΕΟΦΙΛΟΠΟΥΛΟΥ
0022b	Ελεύω	Ελεύθ	ΕΛΕΥΩ	ΕΛΕΥΘ
0025b	ΚΟΡΣΗΣ	ΚΟΡΖΗΣ	ΚΟΡΣΗΣ	ΚΟΡΖΗΣ
0026a	Μπελάνης	Μπολάνης	ΜΠΕΛΑΝΗΣ	ΜΠΟΛΑΝΗΣ
0026b	Βρατοΐνη	Βρατσΐνη	ΒΡΑΤΟΙΝΗ	ΒΡΑΤΣΙΝΗ
0028a	Καράλαμπο	Χαράλαμπο	ΚΑΡΑΛΑΜΠΟ	ΧΑΡΑΛΑΜΠΟ
0030a	Ντέρες	Ντέρος	ΝΤΕΡΕΣ	ΝΤΕΡΟΣ
0030a	Βερίλα	Βορίλα	ΒΕΡΙΛΑ	ΒΟΡΙΛΑ
0031a	ΚΟΡΣΗΣ	ΚΟΡΖΗΣ	ΚΟΡΣΗΣ	ΚΟΡΖΗΣ
0035a	ΡΑΖΙΑ	ΡΑΣΙΑ	ΡΑΖΙΑ	ΡΑΣΙΑ
0035a	ΡΑΖΙΑ	ΡΑΣΙΑ	ΡΑΖΙΑ	ΡΑΣΙΑ
0035a	ΡΑΖΙΑΣ	ΡΑΣΙΑΣ	ΡΑΖΙΑΣ	ΡΑΣΙΑΣ
0035b	ΓΕΩΡΓΙΤΣΙΑΝΣΙ	ΓΕΩΡΓΙΤΣΙΑΝΟΙ	ΓΕΩΡΓΙΤΣΙΑΝΣΙ	ΓΕΩΡΓΙΤΣΙΑΝΟΙ
0035b	ΓΚΟΥΣΟΥΛΗΣ	ΓΚΟΥΖΟΥΛΗΣ	ΓΚΟΥΣΟΥΛΗΣ	ΓΚΟΥΖΟΥΛΗΣ
0035b	ΑΞΕΚΑΣΤΕΣ	ΑΞΕΧΑΣΤΕΣ	ΑΞΕΚΑΣΤΕΣ	ΑΞΕΧΑΣΤΕΣ
0037a	Πετούλα	Ποτούλα	ΠΕΤΟΥΛΑ	ΠΟΤΟΥΛΑ
0045a	ΚΟΡΣΗΣ	ΚΟΡΖΗΣ	ΚΟΡΣΗΣ	ΚΟΡΖΗΣ
0045a	Κορσής	Κορζής	ΚΟΡΣΗΣ	ΚΟΡΖΗΣ
0046b	Παναρ	Παναγ	ΠΑΝΑΡ	ΠΑΝΑΓ
0048a	Κελιώτης	Χελιώτης	ΚΕΛΙΩΤΗΣ	ΧΕΛΙΩΤΗΣ
0051a	ΓΚΟΥΣΟΥΛΗΣ	ΓΚΟΥΖΟΥΛΗΣ	ΓΚΟΥΣΟΥΛΗΣ	ΓΚΟΥΖΟΥΛΗΣ
0052a	ΒΑΣΙΑ	ΒΑΣΙΛ	ΒΑΣΙΑ	ΒΑΣΙΛ
0053a	Αλούτης	Αλούπης	ΑΛΟΥΤΗΣ	ΑΛΟΥΠΗΣ
0053a	Αλούτη	Αλούπη	ΑΛΟΥΤΗ	ΑΛΟΥΠΗ
0053b	ΣΗΡΟΚΑΜΠΙΟΥ	ΞΗΡΟΚΑΜΠΙΟΥ	ΣΗΡΟΚΑΜΠΙΟΥ	ΞΗΡΟΚΑΜΠΙΟΥ
0053b	Αλούτη	Αλούπη	ΑΛΟΥΤΗ	ΑΛΟΥΠΗ
0055a	Μπούσιου	Μπούσκου	ΜΠΟΥΣΙΟΥ	ΜΠΟΥΣΚΟΥ
0057b	ΠΑΡΑΒΑΔΟΣ	ΠΑΡΑΒΑΛΟΣ	ΠΑΡΑΒΑΔΟΣ	ΠΑΡΑΒΑΛΟΣ
0058a	ΚΟΡΣΗΣ	ΚΟΡΖΗΣ	ΚΟΡΣΗΣ	ΚΟΡΖΗΣ
0059a	ΚΙΟΥΜΟΥΡΤΣΑΚΗ	ΚΙΟΥΜΟΥΡΤΖΑΚΗ	ΚΙΟΥΜΟΥΡΤΣΑΚΗ	ΚΙΟΥΜΟΥΡΤΖΑΚΗ
0060a	ΩΡΛΙΩΤΕΡΟ	ΩΡΑΙΩΤΕΡΟ	ΩΡΛΙΩΤΕΡΟ	ΩΡΑΙΩΤΕΡΟ
0064a	ΤΣΑΝΝΕΤΑΚΗΣ	ΤΖΑΝΝΕΤΑΚΗΣ	ΤΣΑΝΝΕΤΑΚΗΣ	ΤΖΑΝΝΕΤΑΚΗΣ
0065a	ΚΕΛΙΩΤΗΣ	ΧΕΛΙΩΤΗΣ	ΚΕΛΙΩΤΗΣ	ΧΕΛΙΩΤΗΣ
0066a	ΤΑΝΝΑΚΑΚΗΣ	ΠΑΝΝΑΚΑΚΗΣ	ΤΑΝΝΑΚΑΚΗΣ	ΠΑΝΝΑΚΑΚΗΣ
0069a	Καραλόμας	Καραλεμας	ΚΑΡΑΛΟΜΑΣ	ΚΑΡΑΛΕΜΑΣ
0071a	ξασφαλίζει	ξασφαλίσει	ΞΑΣΦΑΛΙΖΕΙ	ΞΑΣΦΑΛΙΣΕΙ
0071a	γαπητέ	γαπητο	ΓΑΠΗΤΕ	ΓΑΠΗΤΟ
0071a	Αλούτη	Αλούπη	ΑΛΟΥΤΗ	ΑΛΟΥΠΗ
0075a	ΓΚΟΥΣΟΥΛΗΣ	ΓΚΟΥΖΟΥΛΗΣ	ΓΚΟΥΣΟΥΛΗΣ	ΓΚΟΥΖΟΥΛΗΣ
0075a	ΜΑΓΑΣΙΩΤΗΣ	ΜΑΓΑΖΙΩΤΗΣ	ΜΑΓΑΣΙΩΤΗΣ	ΜΑΓΑΖΙΩΤΗΣ
0077a	Βραϊσίνης	Βρατσίνης	ΒΡΑΙΣΙΝΗΣ	ΒΡΑΤΣΙΝΗΣ
0078a	ΣΤΟΥΡΔΑΣ	ΣΓΟΥΡΔΑΣ	ΣΤΟΥΡΔΑΣ	ΣΓΟΥΡΔΑΣ
0080a	κατοίκι	κατσίκι	ΚΑΤΟΙΚΙ	ΚΑΤΣΙΚΙ
0081a	Λογιανίκο	Λογγανίκο	ΛΟΓΙΑΝΙΚΟ	ΛΟΓΓΑΝΙΚΟ
0083a	Γκάνναρη	Γιάνναρη	ΓΚΑΝΝΑΡΗ	ΓΙΑΝΝΑΡΗ
0083a	κατοικι	κατσικι	ΚΑΤΟΙΚΙ	ΚΑΤΣΙΚΙ
0090a	Νιχάλη	Μιχάλη	ΝΙΧΑΛΗ	ΜΙΧΑΛΗ
0091a	ΔΟΣΟΥΛΑ	ΔΟΞΟΥΛΑ	ΔΟΣΟΥΛΑ	ΔΟΞΟΥΛΑ
0097a	ΚΟΡΣΗΣ	ΚΟΡΖΗΣ	ΚΟΡΣΗΣ	ΚΟΡΖΗΣ
0099a	ΚΟΡΣΗΣ	ΚΟΡΖΗΣ	ΚΟΡΣΗΣ	ΚΟΡΖΗΣ
0099a	Μιλλιές	Μιλλιέξ	ΜΙΛΛΙΕΣ	ΜΙΛΛΙΕΞ
0108a	Βρατοΐνη	Βρατσΐνη	ΒΡΑΤΟΙΝΗ	ΒΡΑΤΣΙΝΗ
0109a	Παράσκης	Παράσχης	ΠΑΡΑΣΚΗΣ	ΠΑΡΑΣΧΗΣ
0110a	Λογιανίκου	Λογγανίκου	ΛΟΓΙΑΝΙΚΟΥ	ΛΟΓΓΑΝΙΚΟΥ
0110a	Λογιανίκο	Λογγανίκο	ΛΟΓΙΑΝΙΚΟ	ΛΟΓΓΑΝΙΚΟ
0110a	Λογιανίκο	Λογγανίκο	ΛΟΓΙΑΝΙΚΟ	ΛΟΓΓΑΝΙΚΟ
0110a	Λογιανίκου	Λογγανίκου	ΛΟΓΙΑΝΙΚΟΥ	ΛΟΓΓΑΝΙΚΟΥ
0114a	Αλούτη	Αλούπη	ΑΛΟΥΤΗ	ΑΛΟΥΠΗ
0117a	ΠΑΠΡΟΝΙΚΟΛΑΣ	ΠΑΤΡΟΝΙΚΟΛΑΣ	ΠΑΠΡΟΝΙΚΟΛΑΣ	ΠΑΤΡΟΝΙΚΟΛΑΣ
0122a	Καραλόμαν	Καραλεμαν	ΚΑΡΑΛΟΜΑΝ	ΚΑΡΑΛΕΜΑΝ
0127a	Βαρφύτσου	Βαρούτσου	ΒΑΡΦΥΤΣΟΥ	ΒΑΡΟΥΤΣΟΥ
0133a	Τοΐχλη	Τσΐχλη	ΤΟΙΧΛΗ	ΤΣΙΧΛΗ
0133a	Γάφος	Τάφος	ΓΑΦΟΣ	ΤΑΦΟΣ
0140a	Πανταξέλος	Πανταζέλος	ΠΑΝΤΑΞΕΛΟΣ	ΠΑΝΤΑΖΕΛΟΣ
0140a	Πανταξέλος	Πανταζέλος	ΠΑΝΤΑΞΕΛΟΣ	ΠΑΝΤΑΖΕΛΟΣ
0144a	ΣΙΟΥΡΔΑΣ	ΣΓΟΥΡΔΑΣ	ΣΙΟΥΡΔΑΣ	ΣΓΟΥΡΔΑΣ
0146a	Παπρονικόλας	Πατρονικόλας	ΠΑΠΡΟΝΙΚΟΛΑΣ	ΠΑΤΡΟΝΙΚΟΛΑΣ
0150a	Βρατοίνη	Βρατσίνη	ΒΡΑΤΟΙΝΗ	ΒΡΑΤΣΙΝΗ
0151a	Λέφος	Λοφος	ΛΕΦΟΣ	ΛΟΦΟΣ
0154a	ΠΑΠΑΤΟΥ	ΠΑΠΑΓΟΥ	ΠΑΠΑΤΟΥ	ΠΑΠΑΓΟΥ
0155a	Καραλόμας	Καραλεμας	ΚΑΡΑΛΟΜΑΣ	ΚΑΡΑΛΕΜΑΣ
0159a	Καλλιμεπούλου	Καλλιμοπούλου	ΚΑΛΛΙΜΕΠΟΥΛΟΥ	ΚΑΛΛΙΜΟΠΟΥΛΟΥ
0160a	Παπρονικόλας	Πατρονικόλας	ΠΑΠΡΟΝΙΚΟΛΑΣ	ΠΑΤΡΟΝΙΚΟΛΑΣ
0162a	Πειρακέικα	Πετρακέικα	ΠΕΙΡΑΚΕΙΚΑ	ΠΕΤΡΑΚΕΙΚΑ
0169a	νεργε	νεργο	ΝΕΡΓΕ	ΝΕΡΓΟ
0170a	Ρομάτος	Γομάτος	ΡΟΜΑΤΟΣ	ΓΟΜΑΤΟΣ
0171a	Καβελλάρη	Καθελλάρη	ΚΑΒΕΛΛΑΡΗ	ΚΑΘΕΛΛΑΡΗ
0172a	Πανταξέλος	Πανταζέλος	ΠΑΝΤΑΞΕΛΟΣ	ΠΑΝΤΑΖΕΛΟΣ
0176a	Καραλόμας	Καραλεμας	ΚΑΡΑΛΟΜΑΣ	ΚΑΡΑΛΕΜΑΣ
0177a	ΑΥΚΟΥΡΕΣΗΣ	ΛΥΚΟΥΡΕΣΗΣ	ΑΥΚΟΥΡΕΣΗΣ	ΛΥΚΟΥΡΕΣΗΣ
