verdict	suspect	suspect_count	candidate	candidate_count	freq_ratio	candidate_in_lexicon	confidence
one-known	ΚΟΥΤΖΗ	1	ΚΟΥΤΣΗ	22	22.0	True	high
one-known	ΕΝΤΥΧΩΣ	1	ΕΥΤΥΧΩΣ	22	22.0	True	high
one-known	ΣΚΙΑΛΑ	1	ΣΚΙΑΔΑ	21	21.0	True	high
one-known	ΑΡΚΑΙΑ	1	ΑΡΧΑΙΑ	21	21.0	True	high
one-known	ΧΡΟΜΟΣ	2	ΧΡΟΝΟΣ	41	20.5	True	high
one-known	ΑΔΕΥΡΟΥ	2	ΑΛΕΥΡΟΥ	40	20.0	True	high
one-known	ΕΝΤΟΛΩΣ	1	ΕΝΤΕΛΩΣ	20	20.0	True	high
one-known	ΑΘΙΞΕΙΣ	2	ΑΦΙΞΕΙΣ	39	19.5	True	high
one-known	ΚΑΡΙΣ	1	ΧΑΡΙΣ	19	19.0	True	high
one-known	ΔΡΙΣΤΟΣ	1	ΑΡΙΣΤΟΣ	19	19.0	True	high
one-known	ΑΙΜΗΝΙΑΙΑ	1	ΔΙΜΗΝΙΑΙΑ	18	18.0	True	high
one-known	ΒΕΥΛΑ	1	ΒΟΥΛΑ	18	18.0	True	high
one-known	ΑΜΟΙΡΑΙΑ	1	ΑΜΟΙΒΑΙΑ	18	18.0	True	high
one-known	ΒΑΝΟΣ	1	ΘΑΝΟΣ	18	18.0	True	high
one-known	ΣΥΝΤΑΞΙΟΥΧΕΣ	1	ΣΥΝΤΑΞΙΟΥΧΟΣ	18	18.0	True	high
one-known	ΦΑΝΑΤΟΙ	4	ΘΑΝΑΤΟΙ	71	17.8	True	high
one-known	ΦΑΝΑΣΗΣ	1	ΘΑΝΑΣΗΣ	17	17.0	True	high
one-known	ΔΙΚΑΤΕΡΙΝΗ	1	ΑΙΚΑΤΕΡΙΝΗ	17	17.0	True	high
one-known	ΓΙΑΠΡΑΚΟΣ	2	ΓΙΑΤΡΑΚΟΣ	33	16.5	True	high
one-known	ΑΝΤΩΝ	2	ΑΥΤΩΝ	32	16.0	True	high
one-known	ΝΕΜΩΝ	1	ΝΟΜΩΝ	16	16.0	True	high
one-known	ΤΡΙΒΑΣ	1	ΓΡΙΒΑΣ	16	16.0	True	high
one-known	ΣΠΕΙΛΤΕ	1	ΣΤΕΙΛΤΕ	15	15.0	True	high
one-known	ΣΗΤΗΣ	3	ΖΗΤΗΣ	42	14.0	True	high
one-known	ΑΛΑΜΗΣ	2	ΑΔΑΜΗΣ	28	14.0	True	high
one-known	ΠΑΤΕΡΟΣ	1	ΠΑΤΕΡΕΣ	14	14.0	True	high
one-known	ΛΙΚΕΣ	1	ΔΙΚΕΣ	14	14.0	True	high
one-known	ΠΡΟΙΝΕΣ	1	ΠΡΩΙΝΕΣ	14	14.0	True	high
one-known	ΣΤΑΦΗ	1	ΕΤΑΦΗ	14	14.0	True	high
one-known	ΘΕΚΑΣ	1	ΘΕΙΑΣ	14	14.0	True	high
one-known	ΚΑΛΛΙΟΝΗ	1	ΚΑΛΛΙΟΠΗ	14	14.0	True	high
