suspect	candidate	pages	second_saw_suspect	second_saw_candidate	verdict	prior_confidence
ΠΡΟΣΦΟΡΑΝ	ΠΡΟΣΦΕΡΑΝ	0007b,0010b,0085a,0168a	0	0	unseen	medium
ΚΑΤΕΘΑΙΝΕΙ	ΚΑΤΕΒΑΙΝΕΙ	0067a	1	0	suspect	medium
ΜΑΧΑΡΙΤΗ	ΜΑΚΑΡΙΤΗ	0044a	0	0	unseen	medium
ΔΑΚΩΝΙΚΑ	ΛΑΚΩΝΙΚΑ	0016b,0022b	0	0	unseen	medium
ΡΕΥΝΑ	ΡΕΥΜΑ	0018b,0020b	2	0	suspect	medium
ΠΑΡΔΙΚΗ	ΠΑΙΔΙΚΗ	0054a,0162a	0	0	unseen	medium
ΕΞΗΤΗΣΕ	ΕΞΗΓΗΣΕ	0127a,0141a	0	0	unseen	medium
ΦΩΜΑΣ	ΘΩΜΑΣ	0044b	0	0	unseen	medium
ΞΑΔΕΛΦΕΣ	ΞΑΔΕΛΦΟΣ	0083a	0	0	unseen	medium
ΕΥΓΕΙΑ	ΕΥΡΕΙΑ	0005b	0	0	unseen	medium
ΑΜΕΤΗ	ΑΝΕΤΗ	0007a	0	0	unseen	medium
ΕΜΙΛΗΣΕ	ΟΜΙΛΗΣΕ	0121a	0	0	unseen	medium
ΑΣΤΟΡΙΑ	ΑΣΤΕΡΙΑ	0121a	1	0	suspect	medium
ΟΜΙΛΕΣ	ΟΜΙΛΟΣ	0013a	0	0	unseen	medium
ΤΑΓΙΑ	ΤΑΠΙΑ	0008a	0	0	unseen	medium
ΤΕΡΟΥΣ	ΙΕΡΟΥΣ		0	0	unseen	medium
ΔΡΑΖΕΙ	ΔΡΑΣΕΙ	0009b	0	0	unseen	medium
ΚΟΙΜΟ	ΚΟΡΜΟ		0	0	unseen	medium
ΕΞΕΝΥΧΙΣΤΙΚΑ	ΕΞΟΝΥΧΙΣΤΙΚΑ	0160a	0	0	unseen	medium
ΕΡΕΙΣ	ΒΡΕΙΣ	0119a	1	0	suspect	medium
ΘΑΛΟΥΜΕ	ΒΑΛΟΥΜΕ	0031b	0	0	unseen	medium
ΤΑΤΙΑ	ΤΑΠΙΑ	0145a	0	0	unseen	medium
ΔΟΓΑΡΙΑΣΜΩΝ	ΛΟΓΑΡΙΑΣΜΩΝ	0019a	0	0	unseen	medium
ΚΑΓΙΑ	ΚΑΤΙΑ	0113a	1	0	suspect	medium
ΕΛΙΓΟΤΕΡΟ	ΟΛΙΓΟΤΕΡΟ	0020a	0	0	unseen	medium
ΚΕΣΜΑΓΑΠΗΤΟΣ	ΚΟΣΜΑΓΑΠΗΤΟΣ	0020a	0	0	unseen	medium
ΔΗΜΟΤ	ΔΗΜΟΙ	0020b	1	0	suspect	medium
ΕΦΤΑΞΑΝ	ΕΦΤΑΣΑΝ	0022a	0	0	unseen	medium
ΚΕΖΑΝΗ	ΚΟΖΑΝΗ	0022a	0	0	unseen	medium
ΚΑΛΕΓΗΡΟΣ	ΚΑΛΟΓΗΡΟΣ	0023a	0	0	unseen	medium
ΖΟΥΝΟ	ΖΟΥΝΕ	0136a	0	0	unseen	medium
ΘΩΝΗΣ	ΦΩΝΗΣ	0024a	0	0	unseen	medium
ΜΕΡΙΣΤΟ	ΜΕΓΙΣΤΟ	0162a	1	0	suspect	medium
ΕΟΡΤΑΖΟΝΤΟΣ	ΕΟΡΤΑΖΟΝΤΕΣ	0045a	0	0	unseen	medium
ΚΑΝΤΖΗ	ΧΑΝΤΖΗ	0059a	1	0	suspect	medium
ΔΑΚΗΣ	ΛΑΚΗΣ	0028b	0	0	unseen	medium
ΑΠΕΧΩΡΗΣΑΝ	ΑΝΕΧΩΡΗΣΑΝ	0098a	0	0	unseen	medium
ΒΑΝΟΝΤΩΝ	ΘΑΝΟΝΤΩΝ	0035a	0	0	unseen	medium
ΛΑΚΚΕΣ	ΛΑΙΚΕΣ	0035a	0	0	unseen	medium
ΣΗΤΑΜΕ	ΖΗΤΑΜΕ	0036b	0	0	unseen	medium
ΧΙΑΤΟΝ	ΧΙΛΤΟΝ	0049b	0	0	unseen	medium
ΓΚΟΥΛΑ	ΓΙΟΥΛΑ	0045a	0	0	unseen	medium
ΤΡΑΓΜΑΤΩΝ	ΠΡΑΓΜΑΤΩΝ	0130a	0	0	unseen	medium
ΡΟΜΑΤΟΣ	ΡΕΜΑΤΟΣ	0170a	0	0	unseen	medium
ΠΗΓΑΝΙΑ	ΤΗΓΑΝΙΑ	0057b	0	0	unseen	medium
ΑΓΩΝΙΣΤΟΥΝΕ	ΑΓΩΝΙΣΤΟΥΜΕ	0081a	0	0	unseen	medium
ΚΟΙΡΑ	ΚΟΙΤΑ	0144a	0	0	unseen	medium
ΔΟΔΙΑ	ΔΟΛΙΑ	0099a	0	0	unseen	medium
ΚΑΡΠΕΣ	ΚΑΡΠΟΣ		0	0	unseen	medium
ΣΤΑΔΡΑ	ΣΤΑΔΙΑ	0073a	0	0	unseen	medium
ΠΕΡΝΕΙ	ΓΕΡΝΕΙ	0081a	0	0	unseen	medium
ΑΛΩΘΗΤΗ	ΑΛΩΒΗΤΗ	0143a	0	0	unseen	medium
ΦΥΣΙΑ	ΟΥΣΙΑ		0	0	unseen	medium
ΚΑΡΙΚΛΕΙΑΣ	ΧΑΡΙΚΛΕΙΑΣ	0176a	0	0	unseen	medium
ΩΡΑΙΣΤΑΤΗΣ	ΩΡΑΙΟΤΑΤΗΣ	0144a	0	0	unseen	medium
ΚΟΝΙΚΗ	ΙΟΝΙΚΗ	0162a	0	0	unseen	medium
ΚΑΛΑΝΔΡΙ	ΧΑΛΑΝΔΡΙ	0022a,0139a	0	0	unseen	medium
ΣΙΩΤΗ	ΣΙΩΠΗ	0004b,0006a,0099a	1	0	suspect	medium
ΣΩΓΡΑΦΟ	ΖΩΓΡΑΦΟ	0105a,0107a	0	0	unseen	medium
ΚΑΠΙΑ	ΧΑΠΙΑ	0159a	0	0	unseen	medium
ΣΚΑΔΑ	ΣΚΑΛΑ	0006a,0038b,0154a	0	0	unseen	medium
ΛΕΓΟΣ	ΛΟΓΟΣ	0003b,0007a,0008b,0014a,0060a,0077a,0091a,0095a,0118a,0121a,0129a,0136a,0160a,0179a	8	0	suspect	medium
ΓΥΙΟΣ	ΓΥΡΟΣ	0118a,0122a,0150a	3	0	suspect	medium
ΚΑΡΑΛΑΜΠΗ	ΧΑΡΑΛΑΜΠΗ	0024b,0030b,0034a	0	0	unseen	medium
ΑΠΕΧΩΡΗΣΕ	ΑΠΟΧΩΡΗΣΕ	0074a,0140a,0142a	0	0	unseen	medium
ΚΕΡΜΙΑ	ΚΟΡΜΙΑ	0053b,0101a	0	0	unseen	medium
ΚΑΣΙΑΝΗ	ΚΑΣΤΑΝΗ	0101a,0103a	2	0	suspect	medium
ΚΑΠΙΑ	ΚΑΤΙΑ	0159a	0	0	unseen	medium
ΕΦΗΜΕΙΟΥ	ΕΦΗΜΕΡΟΥ	0081a	0	0	unseen	medium
ΣΥΜΠΑΘΕΙΟ	ΣΥΜΠΑΘΕΙΣ	0007b	0	0	unseen	medium
ΤΑΙΤΑ	ΤΑΚΤΑ	0036a	0	0	unseen	medium
ΑΓΡΕΣ	ΑΓΡΟΣ		0	0	unseen	medium
ΑΓΡΕΣ	ΑΙΡΕΣ		0	0	unseen	medium
ΕΦΤΑΞΕΣ	ΕΦΤΑΣΕΣ	0014b	0	0	unseen	medium
ΑΕΙΟΥ	ΑΕΤΟΥ	0014b	0	0	unseen	medium
ΣΠΑΡΙΑ	ΣΤΑΡΙΑ		0	0	unseen	medium
ΚΑΛΑΡΗΣ	ΧΑΛΑΡΗΣ	0027b	0	0	unseen	medium
ΠΙΕΡΟΥ	ΠΤΕΡΟΥ	0022a	1	0	suspect	medium
ΑΠΕΛΕΙΩΤΟ	ΑΤΕΛΕΙΩΤΟ	0024b	0	0	unseen	medium
ΕΡΓΑΣΜΟΣ	ΟΡΓΑΣΜΟΣ	0031a	0	0	unseen	medium
ΝΑΛΛΗΣ	ΠΑΛΛΗΣ	0044a	0	0	unseen	medium
ΚΟΥΙΟΣ	ΚΟΥΤΟΣ		0	0	unseen	medium
ΤΕΚΟΣ	ΤΟΚΟΣ	0037a	0	0	unseen	medium
ΘΥΣΙΑΝ	ΟΥΣΙΑΝ	0058a	0	0	unseen	medium
ΛΕΥΡΑ	ΛΟΥΡΑ	0108a	0	0	unseen	medium
ΒΟΡΓΑ	ΒΟΡΡΑ	0034a	0	0	unseen	medium
ΕΞΟΔΕΙΑ	ΕΣΟΔΕΙΑ	0035a	0	0	unseen	medium
ΛΑΚΚΕΣ	ΛΑΚΚΟΣ	0035a	0	0	unseen	medium
ΖΑΘΡΑ	ΣΑΘΡΑ	0151a	0	0	unseen	medium
ΔΑΧΝΟΙ	ΛΑΧΝΟΙ	0052a	0	0	unseen	medium
ΛΕΓΓΟΣ	ΛΟΓΓΟΣ	0046b	0	0	unseen	medium
ΑΤΡΙΚΟ	ΑΤΤΙΚΟ	0025a	1	0	suspect	medium
ΑΣΤΙΑ	ΑΣΤΡΑ	0142a	0	0	unseen	medium
ΝΕΤΣΑ	ΠΕΤΣΑ	0049a	0	0	unseen	medium
ΓΟΥΜΠΙΝΗ	ΡΟΥΜΠΙΝΗ	0063a	0	0	unseen	medium
ΠΑΙΟΥ	ΠΑΡΟΥ		0	0	unseen	medium
ΔΕΣΠΕ	ΔΕΣΤΕ	0077a	1	0	suspect	medium
ΑΓΝΙΑ	ΑΡΝΙΑ	0079a	0	0	unseen	medium
ΚΟΥΙΟΣ	ΚΟΥΚΟΣ		0	0	unseen	medium
ΚΕΠΑΔΙ	ΚΟΠΑΔΙ	0097a	0	0	unseen	medium
ΑΠΕΧΩΡΗΣΑΝ	ΑΠΟΧΩΡΗΣΑΝ	0098a	0	0	unseen	medium
ΣΑΒΡΑ	ΣΑΘΡΑ		0	0	unseen	medium
ΛΕΥΣΗ	ΛΟΥΣΗ	0106a	0	0	unseen	medium
ΒΑΘΕΙ	ΒΑΦΕΙ	0172a	0	0	unseen	medium
ΠΕΤΕΣ	ΠΟΤΕΣ	0139a	0	0	unseen	medium
ΑΠΕΔΗΜΗΣΑΝ	ΑΠΟΔΗΜΗΣΑΝ	0155a	0	0	unseen	medium
ΤΟΝΕΣ	ΤΟΝΟΣ	0150a	0	0	unseen	medium
ΔΥΜΑΤΩΝ	ΔΥΝΑΤΩΝ	0150a	1	0	suspect	medium
ΝΕΙΡΑ	ΝΕΚΡΑ		0	0	unseen	medium
ΣΠΑΘΕΙ	ΣΤΑΘΕΙ	0170a	0	0	unseen	medium
ΟΔΟΥΣ	ΟΛΟΥΣ	0017a	0	0	unseen	low
ΑΦΗΝΑ	ΑΘΗΝΑ	0009b,0082a	0	0	unseen	low
ΕΠΙΝΑΝ	ΕΓΙΝΑΝ	0009a	0	0	unseen	low
ΜΑΡΚΑ	ΜΑΡΙΑ	0020b	0	0	unseen	low
ΑΠΟΒΙΩΣΕ	ΑΠΕΒΙΩΣΕ	0090a	0	0	unseen	low
ΠΑΝΙΑ	ΠΑΝΤΑ	0071a	1	0	suspect	low
ΑΝΕΚΤΗΣΕ	ΑΠΕΚΤΗΣΕ	0099a	0	0	unseen	low
ΓΟΝΙΚΗ	ΓΕΝΙΚΗ	0091a	0	0	unseen	low
ΚΕΝΤΑ	ΚΟΝΤΑ	0049a	0	0	unseen	low
ΧΑΝΕΙΣ	ΚΑΝΕΙΣ	0020b	1	0	suspect	low
ΚΟΣΜΕ	ΚΟΣΜΟ	0015a	1	0	suspect	low
ΒΑΠΤΙΖΕΙΣ	ΒΑΠΤΙΣΕΙΣ	0037a	0	0	unseen	low
ΠΙΝΕΙ	ΓΙΝΕΙ	0050b,0118a,0147a	3	0	suspect	low
ΤΡΑΦΕΙ	ΓΡΑΦΕΙ	0013a	0	0	unseen	low
ΑΓΕΡΑΚΙ	ΑΓΟΡΑΚΙ	0098a,0121a	0	0	unseen	low
ΧΑΝΟΥΝ	ΚΑΝΟΥΝ	0047b	1	0	suspect	low
ΠΑΛΤΑ	ΠΑΛΙΑ	0139a	1	0	suspect	low
ΕΠΟΥΣ	ΕΤΟΥΣ	0031b	0	0	unseen	low
ΜΙΚΡΕ	ΜΙΚΡΟ	0112a	1	0	suspect	low
ΜΙΚΤΟ	ΜΙΚΡΟ	0073a	0	0	unseen	low
ΝΕΜΟΥ	ΝΟΜΟΥ	0047b,0108a	1	0	suspect	low
ΟΣΦΥΣ	ΟΣΟΥΣ	0044a	0	0	unseen	low
ΣΥΝΟΔΟ	ΣΥΝΟΛΟ	0028b	1	0	suspect	low
ΚΑΙΣΑΡΟΣ	ΚΑΤΣΑΡΟΣ	0176a	0	0	unseen	low
ΠΤΕΡΟΥ	ΝΤΕΡΟΥ	0132a	0	0	unseen	low
ΝΤΟΡΟΥ	ΝΤΕΡΟΥ	0141a	0	0	unseen	low
ΑΡΑΠΗΣ	ΑΓΑΠΗΣ	0164a	1	0	suspect	low
ΕΝΟΧΗ	ΕΠΟΧΗ	0105a	0	0	unseen	low
ΠΕΡΟΥ	ΝΕΡΟΥ	0073a	0	0	unseen	low
ΕΚΑΜΕ	ΕΚΑΝΕ	0022b,0085a	0	0	unseen	low
ΜΟΛΟΣ	ΜΕΛΟΣ	0166a	0	0	unseen	low
ΜΕΓΑΛΕ	ΜΕΓΑΛΟ	0027a,0042b,0108a,0135a	1	0	suspect	low
ΦΕΤΕΣ	ΦΕΤΟΣ	0050b,0117a	2	0	suspect	low
ΑΓΡΟΣ	ΑΓΙΟΣ	0028b	0	0	unseen	low
ΓΕΡΑΣΕ	ΠΕΡΑΣΕ	0046b	0	0	unseen	low
ΛΕΥΤΕΡΗ	ΔΕΥΤΕΡΗ	0014a	0	0	unseen	low
ΤΟΝΟΣ	ΤΟΠΟΣ	0173a	0	0	unseen	low
ΔΕΘΗΚΕ	ΔΟΘΗΚΕ	0053a	1	0	suspect	low
ΦΟΡΕΙ	ΦΕΡΕΙ	0007a	0	0	unseen	low
ΑΠΟΚΤΗΣΕ	ΑΠΕΚΤΗΣΕ	0018a,0062a,0176a	1	0	suspect	low
ΥΠΕΥΘΥΝΕΣ	ΥΠΕΥΘΥΝΟΣ	0026a,0075a,0173a	0	0	unseen	low
ΧΤΙΡΙΟ	ΚΤΙΡΙΟ	0025a	1	0	suspect	low
ΚΟΥΤΟΣ	ΚΟΝΤΟΣ	0028b	0	0	unseen	low
ΚΟΝΤΕΣ	ΚΟΝΤΟΣ	0069a	0	0	unseen	low
ΑΡΧΙΖΑΝ	ΑΡΧΙΣΑΝ	0106a	0	0	unseen	low
ΝΥΚΤΑ	ΝΥΧΤΑ	0084a	1	0	suspect	low
ΜΕΝΟΣ	ΜΟΝΟΣ	0026b	0	0	unseen	low
ΘΕΡΜΟΣ	ΘΕΡΜΕΣ	0002a	0	0	unseen	low
ΚΑΝΟΥΝΕ	ΚΑΝΟΥΜΕ	0003a	1	0	suspect	low
ΝΑΝΟΣ	ΠΑΝΟΣ	0090a	1	0	suspect	low
ΚΑΜΕΝΑ	ΚΑΝΕΝΑ	0120a	0	0	unseen	low
ΕΚΑΜΑΝ	ΕΚΑΝΑΝ	0159a	0	0	unseen	low
ΑΡΙΩΝ	ΑΓΙΩΝ	0074a	0	0	unseen	low
ΑΓΡΩΝ	ΑΓΙΩΝ	0028b	0	0	unseen	low
ΓΕΡΑΣΕΙ	ΠΕΡΑΣΕΙ	0165a	0	0	unseen	low
ΕΧΑΝΕ	ΕΚΑΝΕ	0005a,0014b,0176a	0	0	unseen	low
ΕΛΑΙΑ	ΕΛΑΤΑ	0090a	0	0	unseen	low
ΠΙΣΤΕΨΟΥΜΕ	ΠΙΣΤΕΥΟΥΜΕ	0052a	0	0	unseen	low
ΕΥΧΑΡΙΣΤΗΡΙΕ	ΕΥΧΑΡΙΣΤΗΡΙΟ	0028b	0	0	unseen	low
ΤΑΣΕΩΣ	ΤΑΞΕΩΣ	0106a	1	0	suspect	low
ΠΙΝΟΥΝ	ΓΙΝΟΥΝ	0039b,0115a,0121a	1	0	suspect	low
ΜΗΧΑΝΙΚΕΣ	ΜΗΧΑΝΙΚΟΣ	0144a	1	0	suspect	low
ΕΚΤΙΖΕ	ΕΚΤΙΣΕ	0056b	1	0	suspect	low
ΕΚΛΕΚΤΕΣ	ΕΚΛΕΚΤΟΣ	0078a	0	0	unseen	low
ΦΕΡΕΙΣ	ΦΟΡΕΙΣ	0079a	0	0	unseen	low
ΑΣΙΑΣ	ΑΞΙΑΣ	0125a	1	0	suspect	low
ΛΙΓΟΣ	ΛΙΓΕΣ	0165a	1	0	suspect	low
ΑΙΓΕΣ	ΛΙΓΕΣ	0022b	0	0	unseen	low
ΕΝΤΕΛΗ	ΕΝΤΟΛΗ	0056b	0	0	unseen	low
ΚΩΝΣΤΑΝΤΙΝΕ	ΚΩΝΣΤΑΝΤΙΝΟ	0149a	0	0	unseen	low
ΑΞΥΛΟ	ΑΣΥΛΟ	0053b	0	0	unseen	low
ΑΠΕΦΑΣΙΣΕ	ΑΠΟΦΑΣΙΣΕ	0033a	0	0	unseen	low
ΑΓΕΡΑ	ΑΓΟΡΑ	0054a,0057b	1	0	suspect	low
ΜΑΓΙΑ	ΜΑΤΙΑ	0046a,0151a,0173a	1	0	suspect	low
ΚΤΙΣΗ	ΚΡΙΣΗ	0002a	0	0	unseen	low
ΕΝΟΧΗΣ	ΕΠΟΧΗΣ	0107a	0	0	unseen	low
ΣΚΕΥΗ	ΣΚΕΨΗ	0053a	1	0	suspect	low
ΒΑΣΙΛΕΙΣ	ΒΑΣΙΛΕΙΟ	0045a	1	0	suspect	low
ΧΡΙΣΤΕΣ	ΧΡΙΣΤΟΣ	0148a	0	0	unseen	low
ΜΑΓΙΑΣ	ΜΑΡΙΑΣ	0077a	0	0	unseen	low
ΜΑΡΚΑΣ	ΜΑΡΙΑΣ	0058a	0	0	unseen	low
ΑΝΘΡΩΠΕ	ΑΝΘΡΩΠΟ	0044a	1	0	suspect	low
ΜΙΚΤΗ	ΜΙΚΡΗ	0015b,0026b	1	0	suspect	low
ΠΟΡΙΣΜΑ	ΠΟΤΙΣΜΑ	0045b	0	0	unseen	low
ΤΡΑΦΟΥΝ	ΓΡΑΦΟΥΝ	0089a	0	0	unseen	low
ΣΥΝΕΧΙΖΟΥΜΕ	ΣΥΝΕΧΙΣΟΥΜΕ	0094a	1	0	suspect	low
ΠΑΤΑΣ	ΠΑΠΑΣ	0051a	0	0	unseen	low
ΕΦΗΜΕΡΙΣ	ΕΦΗΜΕΡΙΟ	0008b	0	0	unseen	low
ΡΟΥΛΑ	ΤΟΥΛΑ	0034a	0	0	unseen	low
ΕΚΦΡΑΣΕΙ	ΕΚΦΡΑΖΕΙ	0019b	0	0	unseen	low
ΚΑΝΟΝΑΣ	ΚΑΝΕΝΑΣ	0102a,0148a	0	0	unseen	low
ΟΙΚΟΔΟΜΟΣ	ΟΙΚΟΔΟΜΕΣ	0065a	0	0	unseen	low
ΠΕΡΙΣΣΟΤΕΡΟΣ	ΠΕΡΙΣΣΟΤΕΡΕΣ	0118a	1	0	suspect	low
ΔΙΑΒΑΣΩ	ΔΙΑΒΑΖΩ	0123a	0	0	unseen	low
ΣΥΜΒΟΥΛΕΣ	ΣΥΜΒΟΥΛΟΣ	0043a,0044a,0113a	0	0	unseen	low
ΘΕΛΟΥΝΕ	ΘΕΛΟΥΜΕ	0072a	1	0	suspect	low
ΟΠΟΙΟΥΔΗΠΟΤΕ	ΟΠΟΙΟΝΔΗΠΟΤΕ	0006a	0	0	unseen	low
ΠΕΔΙΑ	ΠΟΔΙΑ	0024b	0	0	unseen	low
ΕΚΦΡΑΣΟΥΜΕ	ΕΚΦΡΑΖΟΥΜΕ	0166a	0	0	unseen	low
ΟΡΑΣΗ	ΦΡΑΣΗ	0046b	0	0	unseen	low
ΕΧΟΥΝΕ	ΕΧΟΥΜΕ	0014b,0046b,0089a,0091a,0136a	0	0	unseen	low
ΛΕΥΚΑΣ	ΛΟΥΚΑΣ	0053a	0	0	unseen	low
ΨΥΧΟΣ	ΨΥΧΕΣ	0015a	0	0	unseen	low
ΠΗΓΑΜΕ	ΠΗΡΑΜΕ	0019a	0	0	unseen	low
ΕΠΑΡΧΕΙΑ	ΕΠΑΡΚΕΙΑ	0072a	0	0	unseen	low
ΚΑΝΑΝΕ	ΚΑΝΑΜΕ	0098a	1	0	suspect	low
ΜΑΡΙΟΣ	ΜΑΡΚΟΣ	0005b	0	0	unseen	low
ΕΧΤΙΣΕ	ΕΚΤΙΣΕ	0061a,0063a	0	0	unseen	low
ΠΟΙΕΣ	ΠΟΙΟΣ	0018b,0057b	0	0	unseen	low
ΦΙΔΙΑ	ΦΙΛΙΑ	0077a	0	0	unseen	low
ΧΗΜΙΚΕΣ	ΧΗΜΙΚΟΣ	0015b	0	0	unseen	low
ΤΟΝΟΣ	ΠΟΝΟΣ	0173a	0	0	unseen	low
ΛΕΠΡΑ	ΛΕΠΤΑ	0044b	1	0	suspect	low
ΘΕΡΜΟΤΑΤΟΣ	ΘΕΡΜΟΤΑΤΕΣ	0088a	0	0	unseen	low
ΑΡΧΕΙ	ΑΡΚΕΙ	0166a	0	0	unseen	low
ΟΜΑΛΑ	ΟΜΑΔΑ	0164a,0175a	0	0	unseen	low
ΚΡΙΝΑ	ΚΡΙΜΑ	0045a,0094a	2	0	suspect	low
ΕΙΧΑΝΕ	ΕΙΧΑΜΕ	0110a,0112a,0123a	0	0	unseen	low
ΠΑΡΑΓΟΝΤΟΣ	ΠΑΡΑΓΟΝΤΕΣ	0009a,0119a	0	0	unseen	low
ΚΥΡΙΕΣ	ΚΥΡΙΟΣ	0046a,0162a	2	0	suspect	low
ΓΥΝΑΙΚΟΣ	ΓΥΝΑΙΚΕΣ	0057b,0085a	1	0	suspect	low
ΜΑΜΗΣ	ΜΑΝΗΣ	0140a,0142a	2	0	suspect	low
ΑΓΡΟΝ	ΑΓΙΟΝ	0065a	0	0	unseen	low
ΛΕΓΑΝΕ	ΛΕΓΑΜΕ	0130a	0	0	unseen	low
ΦΟΡΟΣ	ΦΟΡΕΣ	0086a,0097a,0099a,0130a	2	0	suspect	low
ΚΕΡΙΑ	ΧΕΡΙΑ	0019a,0083a	0	0	unseen	low
ΣΚΟΤΟΥΣ	ΣΚΟΠΟΥΣ	0009a,0015b	0	0	unseen	low
ΦΙΛΕΣ	ΦΙΛΟΣ	0014a,0033a,0059a	1	0	suspect	low
ΑΓΙΕΣ	ΑΓΙΟΣ	0012b,0064a,0087a,0136a,0159a	4	0	suspect	low
ΑΙΩΝΑΣ	ΑΓΩΝΑΣ	0102a,0177a	1	0	suspect	low
ΠΑΝΑΣ	ΠΑΠΑΣ	0049a,0056a	0	0	unseen	low
ΒΟΛΟΣ	ΡΟΛΟΣ	0150a	0	0	unseen	low
ΕΚΦΡΑΣΩ	ΕΚΦΡΑΖΩ	0007b	0	0	unseen	low
ΕΛΠΙΣΟΥΜΕ	ΕΛΠΙΖΟΥΜΕ	0015b	0	0	unseen	low
ΣΤΡΑΤΙΩΤΙΚΕΣ	ΣΤΡΑΤΙΩΤΙΚΟΣ	0136a	1	0	suspect	low
ΔΥΝΑΤΕΣ	ΔΥΝΑΤΟΣ	0173a	0	0	unseen	low
ΠΛΗΓΕΣ	ΠΛΗΡΕΣ	0022b	0	0	unseen	low
ΠΡΟΘΥΜΕΣ	ΠΡΟΘΥΜΟΣ	0075a	0	0	unseen	low
ΕΚΤΙΖΑΝ	ΕΚΤΙΣΑΝ	0019a	0	0	unseen	low
ΠΕΤΑΣ	ΠΕΡΑΣ	0020a	0	0	unseen	low
ΕΥΛΟΓΗΜΕΝΟΣ	ΕΥΛΟΓΗΜΕΝΕΣ	0021a	0	0	unseen	low
ΕΧΤΙΣΑΝ	ΕΚΤΙΣΑΝ	0022b	0	0	unseen	low
ΣΧΗΜΑΤΑ	ΟΧΗΜΑΤΑ	0080a	0	0	unseen	low
ΠΑΝΤΕΣ	ΠΑΝΤΟΣ	0010b,0013b,0035b,0037a,0049a,0085a,0094a	1	0	suspect	low
ΓΟΝΑΤΟΣ	ΓΟΜΑΤΟΣ	0008a,0048a	1	0	suspect	low
ΕΚΕΙΝΕΣ	ΕΚΕΙΝΟΣ	0005a,0027b,0068a	0	0	unseen	low
ΡΕΥΜΑ	ΓΕΥΜΑ	0097a,0099a,0124a,0150a	0	0	unseen	low
ΤΟΣΟΝ	ΠΟΣΟΝ	0025b,0066a,0086a,0131a	4	0	suspect	low
ΜΟΝΑΔΟΣ	ΜΟΝΑΔΕΣ	0026a,0067a	0	0	unseen	low
ΠΑΡΟΥΣΙΑΖΕ	ΠΑΡΟΥΣΙΑΣΕ	0094a,0130a	0	0	unseen	low
ΣΥΣΚΕΥΗ	ΣΥΣΚΕΨΗ	0004b,0061a	0	0	unseen	low
ΟΜΟΡΦΟΣ	ΟΜΟΡΦΕΣ	0042b	0	0	unseen	low
ΠΡΟΗΓΟΥΜΕΝΟΣ	ΠΡΟΗΓΟΥΜΕΝΕΣ	0044b	1	0	suspect	low
ΠΕΙΝΟΥΝ	ΠΕΡΝΟΥΝ	0003a	0	0	unseen	low
ΑΙΩΝΟΣ	ΑΙΩΝΕΣ	0032b	0	0	unseen	low
ΓΕΡΜΑ	ΤΕΡΜΑ	0006a	0	0	unseen	low
ΟΥΡΑΝΕ	ΟΥΡΑΝΟ	0022a	0	0	unseen	low
ΑΠΟΦΑΣΙΖΕΙ	ΑΠΟΦΑΣΙΣΕΙ	0017a	0	0	unseen	low
ΑΚΟΛΟΥΘΕΣ	ΑΚΟΛΟΥΘΟΣ	0039a	0	0	unseen	low
ΑΚΤΕΣ	ΑΚΡΕΣ	0014b	0	0	unseen	low
ΑΙΡΕΣ	ΑΚΡΕΣ	0059a	1	0	suspect	low
ΞΕΝΟΔΟΧΟ	ΞΕΝΟΔΟΧΕ	0039b	0	0	unseen	low
ΟΧΗΜΑ	ΣΧΗΜΑ	0079a	0	0	unseen	low
ΔΙΑΚΟΝΩΝ	ΔΙΑΚΟΠΩΝ	0029b	1	0	suspect	low
ΕΝΔΙΑΦΕΡΟΝΤΕΣ	ΕΝΔΙΑΦΕΡΟΝΤΟΣ	0159a	0	0	unseen	low
ΠΟΛΙΤΙΣΜΕΝΕΣ	ΠΟΛΙΤΙΣΜΕΝΟΣ	0121a	0	0	unseen	low
ΑΡΩΓΟΥΣ	ΑΓΩΓΟΥΣ	0088a	0	0	unseen	low
ΧΟΡΕΥΑΝ	ΧΟΡΕΨΑΝ	0177a	0	0	unseen	low
ΑΠΟΣΠΑΣΗ	ΑΠΟΣΤΑΣΗ	0054a	0	0	unseen	low
ΞΕΧΩΡΙΣΕΙ	ΞΕΧΩΡΙΖΕΙ	0087a	0	0	unseen	low
ΜΟΡΤΗ	ΜΟΡΡΗ	0090a	0	0	unseen	low
ΜΕΡΕΣ	ΜΕΡΟΣ	0009a,0038a,0050b,0082a,0090a,0109a,0110a,0115a,0122a,0136a,0145a,0162a,0172a	7	0	suspect	low
ΝΟΝΟΣ	ΜΟΝΟΣ	0061a,0070a,0089a,0091a	4	0	suspect	low
ΜΟΝΕΣ	ΜΟΝΟΣ	0025a,0026a	1	0	suspect	low
ΚΑΡΑΣ	ΧΑΡΑΣ	0002a	0	0	unseen	low
ΠΡΟΣΦΕΡΕΣ	ΠΡΟΣΦΟΡΕΣ	0042a,0047b	0	0	unseen	low
ΑΝΔΡΟΣ	ΑΝΔΡΕΣ	0047b,0076a	0	0	unseen	low
ΥΠΕΝΘΥΜΙΣΕΙ	ΥΠΕΝΘΥΜΙΖΕΙ	0075a,0170a	0	0	unseen	low
ΟΡΕΙΝΟΣ	ΟΡΕΙΝΕΣ	0053b,0070a	0	0	unseen	low
