suspect	candidate	pages	second_saw_suspect	second_saw_candidate	verdict	prior_confidence
ΟΠΟΙΕΣ	ΟΠΟΙΟΣ	0003a,0003b,0006a,0009a,0027a,0027b,0032b,0036b,0045b,0048a,0051a,0058b,0076a,0094a,0097a,0099a,0100a,0119a,0131a,0149a,0166a,0168a,0170a	12	4	both-seen	low
ΚΟΥΜΠΑΡΟ	ΚΟΥΜΠΑΡΕ	0021a,0119a,0177a	1	4	both-seen	low
ΚΟΙΝΟΤΗΤΟΣ	ΚΟΙΝΟΤΗΤΕΣ	0003b,0007b,0069a,0082a,0108a,0122a,0124a,0134a,0144a,0169a	14	4	both-seen	low
ΑΥΤΕΣ	ΑΥΤΟΣ	0003a,0005b,0007b,0013b,0019a,0021a,0026a,0027a,0028a,0030a,0031b,0032a,0035a,0036b,0039a,0044a,0044b,0045a,0049b,0050b,0051a,0055b,0058b,0076a,0081a,0097a,0099a,0101a,0103a,0105a,0107a,0120a,0121a,0122a,0136a,0161a,0165a,0168a	7	4	both-seen	low
ΚΑΜΕΙ	ΚΑΝΕΙ	0045a,0082a,0173a	1	3	both-seen	low
ΠΡΟΕΔΡΕ	ΠΡΟΕΔΡΟ	0116a,0138a,0168a,0171a	3	3	both-seen	low
ΠΕΙΡΑ	ΠΕΤΡΑ	0003b,0005b,0012b,0013b,0017b,0044a,0052b,0095a,0106a,0108a,0110a,0125a,0169a	7	3	both-seen	low
ΧΑΡΟΣ	ΧΑΡΕΣ	0023a,0024b,0025b,0026b,0044a,0081a,0086a,0140a,0142a	12	3	both-seen	low
ΓΟΝΟΣ	ΓΕΝΟΣ	0101a,0103a	2	2	both-seen	low
ΑΡΧΙΖΕ	ΑΡΧΙΣΕ	0032b,0039a,0057b,0065a,0067a,0102a	2	2	both-seen	low
ΚΑΝΟΝΑ	ΚΑΝΕΝΑ	0027a,0079a,0088a,0101a,0103a	2	2	both-seen	low
ΠΟΛΙΤΙΣΤΙΚΕΣ	ΠΟΛΙΤΙΣΤΙΚΟΣ	0009b,0019b,0028b,0029b,0030b,0095a	3	2	both-seen	low
ΕΣΩΤΕΡΙΚΟ	ΕΞΩΤΕΡΙΚΟ	0003a,0004b,0007a,0007b,0008a,0020a,0024a,0031a,0045a,0050b,0056b,0062a,0073a,0094a,0147a,0177a	1	2	both-seen	low
ΑΓΑΠΗΤΟ	ΑΓΑΠΗΤΕ	0006a,0013a,0014b,0022a,0037a,0039a,0078a,0140a,0142a,0151a,0160a,0161a	3	2	both-seen	low
ΛΕΓΟΥ	ΛΟΓΟΥ	0024a,0091a,0095a,0125a	2	2	both-seen	low
ΚΑΛΕΣ	ΚΑΛΟΣ	0008b,0025a,0030a,0031b,0042a,0044a,0049b,0052a,0060a,0070a,0119a,0153a,0166a,0179a	10	2	both-seen	low
ΕΣΩΤΕΡΙΚΟΥ	ΕΞΩΤΕΡΙΚΟΥ	0006b,0019b,0022b,0027a,0030b,0033a,0035a,0045a,0050b,0058a,0062a,0073a,0077a,0104a,0116a,0124a,0131a,0168a	7	2	both-seen	low
ΡΜΟΔΙΕΣ	ΡΜΟΔΙΟΣ	0025a,0106a	1	2	both-seen	low
ΠΛΑΤΑΝΕΣ	ΠΛΑΤΑΝΟΣ	0016b,0128a	1	1	both-seen	medium
ΜΑΓΙΑ	ΜΑΡΙΑ	0046a,0151a,0173a	1	1	both-seen	low
ΠΗΡΕΣ	ΠΗΓΕΣ	0042b	1	1	both-seen	low
ΧΑΝΕΙ	ΚΑΝΕΙ	0021a,0024b,0146a	3	1	both-seen	low
