level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2298	3172	-1	
2	1	1	0	0	0	146	164	295	249	-1	
3	1	1	1	0	0	146	164	295	249	-1	
4	1	1	1	1	0	146	164	295	249	-1	
5	1	1	1	1	1	146	164	295	249	95.000000	 
2	1	2	0	0	0	71	120	657	376	-1	
3	1	2	1	0	0	71	120	638	376	-1	
4	1	2	1	1	0	71	120	18	15	-1	
5	1	2	1	1	1	71	120	18	15	0.000000	4
4	1	2	1	2	0	71	134	657	36	-1	
5	1	2	1	2	1	71	135	18	35	0.000000	ς
5	1	2	1	2	2	679	134	49	34	0.000000	τω
4	1	2	1	3	0	71	166	614	88	-1	
5	1	2	1	3	1	71	190	18	49	22.808624	8
5	1	2	1	3	2	489	166	196	88	0.000000	--4ύψ
4	1	2	1	4	0	71	240	18	15	-1	
5	1	2	1	4	1	71	240	18	15	76.538925	ο
4	1	2	1	5	0	71	257	18	15	-1	
5	1	2	1	5	1	71	257	18	15	38.528942	Μ
4	1	2	1	6	0	71	287	18	48	-1	
5	1	2	1	6	1	71	287	18	48	77.223557	5
4	1	2	1	7	0	72	336	17	45	-1	
5	1	2	1	7	1	72	336	17	45	0.000000	ε
4	1	2	1	8	0	72	381	17	15	-1	
5	1	2	1	8	1	72	381	17	15	0.000000	κι
4	1	2	1	9	0	72	398	18	16	-1	
5	1	2	1	9	1	72	398	18	16	72.987091	Φ
4	1	2	1	10	0	72	415	18	14	-1	
5	1	2	1	10	1	72	415	18	14	19.532738	ο
4	1	2	1	11	0	238	439	323	27	-1	
5	1	2	1	11	1	238	439	7	8	55.040318	{
5	1	2	1	11	2	259	447	83	18	55.040318	ΝΕΑΡΟΙ
5	1	2	1	11	3	379	447	182	19	74.557541	ΓΕΩΡΓΙΤΣΙΑΝΟΙ
4	1	2	1	12	0	247	477	315	19	-1	
5	1	2	1	12	1	247	477	128	19	84.010323	ΑΓΑΠΗΣΤΕ
5	1	2	1	12	2	406	477	156	18	79.236366	ΟΛΟΨΥΧΑ.....
2	1	3	0	0	0	387	175	753	234	-1	
3	1	3	1	0	0	387	175	753	234	-1	
4	1	3	1	1	0	387	175	753	234	-1	
5	1	3	1	1	1	387	147	753	262	0.000000	νΤεορ
2	1	4	0	0	0	808	147	211	31	-1	
3	1	4	1	0	0	808	147	205	31	-1	
4	1	4	1	1	0	893	147	33	19	-1	
5	1	4	1	1	1	893	147	33	19	22.852921	ο,
4	1	4	1	2	0	808	164	211	14	-1	
5	1	4	1	2	1	808	170	14	8	0.000000	3
5	1	4	1	2	2	929	164	32	11	20.326149	σον
5	1	4	1	2	3	973	167	46	10	0.000000	οσ
2	1	5	0	0	0	989	246	12	11	-1	
3	1	5	1	0	0	989	246	12	11	-1	
4	1	5	1	1	0	989	246	12	11	-1	
5	1	5	1	1	1	989	246	12	11	0.000000	ΛΝ
2	1	6	0	0	0	617	448	1045	46	-1	
3	1	6	1	0	0	617	448	1045	46	-1	
4	1	6	1	1	0	617	448	1045	46	-1	
5	1	6	1	1	1	617	448	86	41	94.934456	ΤΟ
5	1	6	1	1	2	725	448	377	43	74.745171	ΜΠΑΛΚΟΝΙ
5	1	6	1	1	3	1123	450	132	41	93.244255	ΤΟΥ
5	1	6	1	1	4	1277	451	385	43	27.613518	ΤΑΥ.ΓΗΕΤΟΥ
2	1	7	0	0	0	1161	143	603	267	-1	
3	1	7	1	0	0	1161	143	603	267	-1	
4	1	7	1	1	0	1161	143	603	267	-1	
5	1	7	1	1	1	1161	137	603	273	0.000000	Ετσι
2	1	8	0	0	0	1691	171	90	106	-1	
3	1	8	1	0	0	1691	171	90	106	-1	
4	1	8	1	1	0	1691	171	90	106	-1	
5	1	8	1	1	1	1691	171	90	106	95.000000	    
