level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1930	3087	-1	
2	1	1	0	0	0	38	40	269	22	-1	
3	1	1	1	0	0	38	40	269	22	-1	
4	1	1	1	1	0	38	40	269	22	-1	
5	1	1	1	1	1	38	40	269	22	86.767548	«ΓΙΩΡΓΙΤΣΙ»
2	1	2	0	0	0	52	78	1834	7	-1	
3	1	2	1	0	0	52	78	1834	7	-1	
4	1	2	1	1	0	52	78	1834	7	-1	
5	1	2	1	1	1	52	78	1834	7	95.000000	 
2	1	3	0	0	0	115	133	224	56	-1	
3	1	3	1	0	0	115	133	224	56	-1	
4	1	3	1	1	0	115	133	224	56	-1	
5	1	3	1	1	1	115	133	224	56	90.876671	Κάτοικος
2	1	4	0	0	0	183	218	110	21	-1	
3	1	4	1	0	0	183	218	110	21	-1	
4	1	4	1	1	0	183	218	110	21	-1	
5	1	4	1	1	1	183	225	25	13	96.117371	λα
5	1	4	1	1	2	223	218	35	20	93.266922	ἀπὸ
5	1	4	1	1	3	273	225	20	14	96.436783	τὸ
2	1	5	0	0	0	371	131	307	65	-1	
3	1	5	1	0	0	371	131	307	65	-1	
4	1	5	1	1	0	371	131	307	65	-1	
5	1	5	1	1	1	371	131	307	65	22.300339	Γεωργιταίου
2	1	6	0	0	0	42	215	590	29	-1	
3	1	6	1	0	0	42	215	590	29	-1	
4	1	6	1	1	0	42	215	590	29	-1	
5	1	6	1	1	1	42	217	34	27	12.936157	Εν,
5	1	6	1	1	2	92	217	29	21	81.744514	σὺ]
5	1	6	1	1	3	135	217	45	27	48.755768	ρο6ό
5	1	6	1	1	4	309	217	60	27	92.319916	χωριὸ
5	1	6	1	1	5	383	217	33	21	90.449593	καὶ
5	1	6	1	1	6	432	217	36	26	95.920731	στὴ
5	1	6	1	1	7	484	216	52	26	92.918549	πόλη
5	1	6	1	1	8	549	215	83	28	58.402016	κατέδα,
2	1	7	0	0	0	40	249	607	238	-1	
3	1	7	1	0	0	40	249	517	31	-1	
4	1	7	1	1	0	42	249	479	14	-1	
5	1	7	1	1	1	42	253	8	6	0.000000	ᾳ
5	1	7	1	1	2	177	255	7	2	6.909363	ο
5	1	7	1	1	3	347	249	101	14	5.722702	Αμ.
5	1	7	1	1	4	517	252	4	5	44.439716	.
4	1	7	1	2	0	40	253	517	27	-1	
5	1	7	1	2	1	40	261	46	13	93.214241	ὅπου
5	1	7	1	2	2	102	254	93	25	91.548210	γλεντοῦν
5	1	7	1	2	3	212	261	16	13	93.295517	οἱ
5	1	7	1	2	4	241	260	91	20	92.182251	ὄμορφες,
5	1	7	1	2	5	347	253	105	20	70.464172	θελουδικὰ
5	1	7	1	2	6	464	260	93	18	73.730934	ντυµένες
3	1	7	2	0	0	40	287	577	100	-1	
4	1	7	2	1	0	40	287	577	28	-1	
5	1	7	2	1	1	40	289	27	21	43.852081	κι)
5	1	7	2	1	2	85	289	62	26	91.860947	ἄφησε
5	1	7	2	1	3	162	289	25	21	93.297180	τὰ
5	1	7	2	1	4	202	289	55	26	55.946274	ψηλὰ
5	1	7	2	1	5	272	288	56	21	39.082794	δουνὰ
5	1	7	2	1	6	342	288	32	22	45.803360	καὶ
5	1	7	2	1	7	390	288	31	24	93.305649	τὶς
5	1	7	2	1	8	437	287	72	25	50.889629	πυχνές
5	1	7	2	1	9	526	287	91	28	68.408600	ὀμίχλες.
4	1	7	2	2	0	40	323	563	28	-1	
5	1	7	2	2	1	40	324	26	21	48.699722	Τὶ
5	1	7	2	2	2	80	325	56	23	92.215096	λέεις
5	1	7	2	2	3	151	324	31	27	75.666245	ρέ;
5	1	7	2	2	4	199	324	20	21	93.224655	δέ
5	1	7	2	2	5	236	326	83	25	62.574203	ροθολῶ,
5	1	7	2	2	6	333	324	30	21	49.751549	δέν
5	1	7	2	2	7	380	324	52	21	62.512020	χόδω
5	1	7	2	2	8	449	323	25	22	95.857231	τὰ
