level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2606	3510	-1	
2	1	1	0	0	0	0	0	1077	9	-1	
3	1	1	1	0	0	0	0	1077	9	-1	
4	1	1	1	1	0	0	0	1077	9	-1	
5	1	1	1	1	1	0	0	1077	9	95.000000	 
2	1	2	0	0	0	21	3480	106	30	-1	
3	1	2	1	0	0	21	3480	106	30	-1	
4	1	2	1	1	0	21	3480	106	30	-1	
5	1	2	1	1	1	21	3480	106	30	95.000000	 
2	1	3	0	0	0	204	163	647	275	-1	
3	1	3	1	0	0	204	163	647	275	-1	
4	1	3	1	1	0	204	163	647	275	-1	
5	1	3	1	1	1	204	163	647	275	95.000000	  
2	1	4	0	0	0	659	257	261	181	-1	
3	1	4	1	0	0	659	257	261	181	-1	
4	1	4	1	1	0	659	257	261	181	-1	
5	1	4	1	1	1	659	257	261	181	49.985741	ΓΕ
2	1	5	0	0	0	275	468	374	60	-1	
3	1	5	1	0	0	275	468	374	60	-1	
4	1	5	1	1	0	275	468	374	26	-1	
5	1	5	1	1	1	275	468	2	2	0.000000	᾿
5	1	5	1	1	2	295	473	111	20	50.992905	ΝΕΑΡΟΙ
5	1	5	1	1	3	419	474	230	20	78.294342	ΓΕΩΡΓΙΤΣΙΑΝΟΙ
4	1	5	1	2	0	298	502	349	26	-1	
5	1	5	1	2	1	298	502	160	20	85.945847	ΑΓΑΠΗΣΤΕ
5	1	5	1	2	2	470	504	177	24	71.283096	ΟΛΦΨΥΧΑ...,
2	1	6	0	0	0	193	614	348	8	-1	
3	1	6	1	0	0	193	614	348	8	-1	
4	1	6	1	1	0	193	614	348	8	-1	
5	1	6	1	1	1	193	614	348	8	95.000000	 
2	1	7	0	0	0	287	671	510	67	-1	
3	1	7	1	0	0	287	671	510	67	-1	
4	1	7	1	1	0	287	671	510	67	-1	
5	1	7	1	1	1	287	671	30	53	21.368217	Ὀ
5	1	7	1	1	2	339	672	288	66	87.971268	Επαρχιακὺς
5	1	7	1	1	3	648	677	149	59	92.038132	Τύπος
2	1	8	0	0	0	48	774	848	1528	-1	
3	1	8	1	0	0	185	774	711	108	-1	
4	1	8	1	1	0	210	774	685	38	-1	
5	1	8	1	1	1	210	774	28	21	38.504429	Σ᾽
5	1	8	1	1	2	251	774	63	27	95.679749	όλες
5	1	8	1	1	3	331	775	96	30	96.640816	σχεδόν
5	1	8	1	1	4	438	783	39	21	96.356346	τις
5	1	8	1	1	5	491	779	184	29	73.442482	μεγαλύτερες
5	1	8	1	1	6	688	781	93	31	96.121727	πόλεις
5	1	8	1	1	7	794	787	46	25	93.165100	της
5	1	8	1	1	8	856	782	39	30	92.285271	χώ
4	1	8	1	2	0	185	810	711	51	-1	
5	1	8	1	2	1	185	815	59	23	86.124825	ρας,
5	1	8	1	2	2	262	810	26	22	90.892967	σ’
5	1	8	1	2	3	306	811	63	27	96.977173	όλες
5	1	8	1	2	4	381	817	41	21	95.588074	τις
5	1	8	1	2	5	439	813	142	31	96.806480	Επαρχίες,
5	1	8	1	2	6	593	811	188	50	94.689835	κυκλοφορούν
5	1	8	1	2	7	793	817	103	30	83.434189	καθηµε
4	1	8	1	3	0	185	841	705	51	-1	
5	1	8	1	3	1	185	845	72	34	75.919571	ρινές
5	1	8	1	3	2	274	841	173	51	92.812317	ἐφημερίδες,
5	1	8	1	3	3	460	849	219	30	10.511887	ἑθδομαδιαῖες
5	1	8	1	3	4	667	845	15	41	90.113724	ἤ
5	1	8	1	3	5	693	852	130	30	88.324638	μηνιαῖες.
5	1	8	1	3	6	859	853	31	22	15.962151	ὪὍ
3	1	8	2	0	0	60	881	835	819	-1	
4	1	8	2	1	0	60	881	834	49	-1	
5	1	8	2	1	1	60	887	8	24	3.731567	ὃ
5	1	8	2	1	2	100	889	15	7	19.092712	5
5	1	8	2	1	3	162	881	106	26	15.662300	 “πύπος
5	1	8	2	1	4	272	882	90	26	89.652748	αὐτός
5	1	8	2	1	5	373	883	121	27	60.472103	λέγεται.
5	1	8	2	1	6	501	881	182	49	71.802879	᾿Ἐπαρχιακός
5	1	8	2	1	7	698	888	75	25	91.990700	γιατί
5	1	8	2	1	8	791	887	103	22	91.990700	ἐκδίδε-
4	1	8	2	2	0	63	912	832	40	-1	
5	1	8	2	2	1	63	912	2	5	0.000000	ἳ
5	1	8	2	2	2	182	921	45	17	93.305229	ται
5	1	8	2	2	3	238	917	32	29	90.752777	µέ
5	1	8	2	2	4	282	917	95	30	93.297997	κέντρο
5	1	8	2	2	5	394	918	48	30	89.045044	µιά
5	1	8	2	2	6	454	920	81	29	93.253372	µικρή
5	1	8	2	2	7	548	920	15	29	93.167038	ἤ
5	1	8	2	2	8	580	921	169	30	81.371628	μεγαλύτερη
5	1	8	2	2	9	766	922	67	30	96.586266	πόλη
5	1	8	2	2	10	849	929	46	16	96.108223	και
4	1	8	2	3	0	182	952	711	40	-1	
5	1	8	2	3	1	182	952	102	40	96.695190	γράφει
5	1	8	2	3	2	298	953	50	27	31.205589	γιά
5	1	8	2	3	3	361	953	105	30	95.860420	θέµατα
5	1	8	2	3	4	481	960	51	16	93.293724	που
5	1	8	2	3	5	547	955	176	31	83.618446	ἐνδιαφέρουν
5	1	8	2	3	6	737	957	47	29	92.954521	τήν
5	1	8	2	3	7	797	956	96	32	27.882309	Ἐπαρ-
4	1	8	2	4	0	182	987	710	33	-1	
5	1	8	2	4	1	182	987	56	29	90.510918	χία.
5	1	8	2	4	2	257	987	172	31	87.077469	Πληροφορεῖ
5	1	8	2	4	3	453	989	167	30	50.632023	ἐπισημαίνει
5	1	8	2	4	4	641	997	41	20	95.843292	τις
5	1	8	2	4	5	692	992	123	28	84.982758	ανάγκες
5	1	8	2	4	6	846	999	46	17	96.063850	και
4	1	8	2	5	0	184	1023	595	46	-1	
5	1	8	2	5	1	184	1023	159	30	96.217567	καλλιεργεί
5	1	8	2	5	2	359	1029	47	25	96.717796	την
5	1	8	2	5	3	419	1025	74	30	96.689964	κοινή
5	1	8	2	5	4	509	1027	151	30	96.255066	επαρχιακή
5	1	8	2	5	5	678	1027	101	42	57.648262	γνώμη.
4	1	8	2	6	0	64	1059	827	32	-1	
5	1	8	2	6	1	64	1064	3	24	4.536484	;
5	1	8	2	6	2	203	1059	50	21	96.839081	Πιό
5	1	8	2	6	3	266	1059	73	22	96.235138	κάτω
5	1	8	2	6	4	355	1060	53	22	95.957977	από
5	1	8	2	6	5	418	1066	46	16	95.957977	τον
5	1	8	2	6	6	476	1062	151	29	69.511871	επαρχιακό
5	1	8	2	6	7	642	1063	64	21	96.751648	τύπο
5	1	8	2	6	8	720	1063	71	23	96.915703	είναι
5	1	8	2	6	9	804	1071	16	16	93.306023	ο
5	1	8	2	6	10	836	1070	55	16	91.105583	στε-
4	1	8	2	7	0	181	1094	710	47	-1	
5	1	8	2	7	1	181	1094	99	29	92.624313	γότερα
5	1	8	2	7	2	289	1096	151	26	73.644882	κεινοτικός
5	1	8	2	7	3	456	1097	80	27	96.075699	τύπος
5	1	8	2	7	4	548	1103	51	18	96.548286	που
5	1	8	2	7	5	613	1098	137	23	95.324356	εκδίδεται
5	1	8	2	7	6	766	1105	31	16	96.869469	σε
5	1	8	2	7	7	811	1101	80	40	77.032234	μεγά-
4	1	8	2	8	0	66	1129	826	33	-1	
5	1	8	2	8	1	66	1135	2	26	44.842010	|
5	1	8	2	8	2	180	1129	38	22	96.258682	λα
5	1	8	2	8	3	227	1131	88	29	94.842407	χωριά
5	1	8	2	8	4	330	1137	32	24	93.288788	µε
5	1	8	2	8	5	373	1133	188	26	74.028389	ανογνωστικό
5	1	8	2	8	6	572	1133	74	23	96.748863	κοινό
5	1	8	2	8	7	658	1139	63	21	93.504929	τους
5	1	8	2	8	8	748	1135	144	27	79.906219	κατοίκους
4	1	8	2	9	0	181	1167	710	33	-1	
5	1	8	2	9	1	181	1171	47	16	96.733200	του
5	1	8	2	9	2	241	1167	101	29	92.733688	χωριού
5	1	8	2	9	3	358	1172	46	17	65.750603	και
5	1	8	2	9	4	418	1172	63	22	91.830193	τους
5	1	8	2	9	5	496	1168	163	30	91.830193	αποδήµους.
5	1	8	2	9	6	673	1169	40	23	96.982208	Τα
5	1	8	2	9	7	725	1170	104	30	42.200378	θέματά
5	1	8	2	9	8	845	1177	46	15	96.334564	του
4	1	8	2	10	0	67	1196	824	40	-1	
5	1	8	2	10	1	67	1196	3	37	11.800758	!
5	1	8	2	10	2	183	1200	68	22	93.206017	είναι
5	1	8	2	10	3	263	1202	98	30	96.331009	κυρίως
5	1	8	2	10	4	377	1202	182	31	94.952400	πληροφορίες
5	1	8	2	10	5	572	1210	47	16	96.432343	και
5	1	8	2	10	6	632	1205	49	30	96.261581	ύλη
5	1	8	2	10	7	697	1211	50	16	96.286362	που
5	1	8	2	10	8	773	1205	118	31	94.365067	προάγει
4	1	8	2	11	0	67	1234	824	63	-1	
5	1	8	2	11	1	67	1234	3	32	71.185081	|
5	1	8	2	11	2	181	1243	46	15	96.879593	και
