level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2304	3207	-1	
2	1	1	0	0	0	110	40	267	70	-1	
3	1	1	1	0	0	110	40	267	70	-1	
4	1	1	1	1	0	110	40	267	70	-1	
5	1	1	1	1	1	110	40	39	58	10.788315	Ὅ
5	1	1	1	1	2	172	41	205	69	0.000000	Τπΐγειηε
2	1	2	0	0	0	102	146	222	30	-1	
3	1	2	1	0	0	102	146	222	30	-1	
4	1	2	1	1	0	102	146	222	30	-1	
5	1	2	1	1	1	102	146	145	30	0.000000	(Συνεχίζουμε
5	1	2	1	1	2	265	150	24	26	94.983109	τή
5	1	2	1	1	3	306	149	18	20	95.909935	δι
2	1	3	0	0	0	291	123	264	10	-1	
3	1	3	1	0	0	291	123	264	10	-1	
4	1	3	1	1	0	291	123	264	10	-1	
5	1	3	1	1	1	291	123	264	10	95.000000	 
2	1	4	0	0	0	323	146	123	33	-1	
3	1	4	1	0	0	323	146	123	33	-1	
4	1	4	1	1	0	323	146	123	33	-1	
5	1	4	1	1	1	323	146	123	33	95.000000	 
2	1	5	0	0	0	439	152	336	60	-1	
3	1	5	1	0	0	439	152	336	60	-1	
4	1	5	1	1	0	503	152	272	28	-1	
5	1	5	1	1	1	503	152	49	19	69.093452	άλου
5	1	5	1	1	2	571	152	58	27	93.545952	φίλου
5	1	5	1	1	3	644	156	34	17	93.279083	τοῦ
5	1	5	1	1	4	698	157	77	23	92.361038	χωριοῦ
4	1	5	1	2	0	439	186	335	26	-1	
5	1	5	1	2	1	439	186	58	26	39.842983	λλιέξ
5	1	5	1	2	2	509	194	17	12	90.725044	τ.
5	1	5	1	2	3	541	187	65	25	84.526344	Δ)τοῦ
5	1	5	1	2	4	623	191	34	17	92.249313	τοῦ
5	1	5	1	2	5	673	188	101	21	0.000000	Γαλλρωῦ
2	1	6	0	0	0	462	158	41	18	-1	
3	1	6	1	0	0	462	158	41	18	-1	
4	1	6	1	1	0	462	158	41	18	-1	
5	1	6	1	1	1	462	158	41	18	95.000000	 
2	1	7	0	0	0	371	185	67	25	-1	
3	1	7	1	0	0	371	185	67	25	-1	
4	1	7	1	1	0	371	185	67	25	-1	
5	1	7	1	1	1	371	185	67	25	95.000000	 
2	1	8	0	0	0	45	182	729	1915	-1	
3	1	8	1	0	0	66	182	664	69	-1	
4	1	8	1	1	0	66	182	305	29	-1	
5	1	8	1	1	1	66	190	44	19	82.540764	μας,
5	1	8	1	1	2	125	182	80	22	93.148888	Γάλλου
5	1	8	1	1	3	222	184	71	27	92.826530	λόγιου
5	1	8	1	1	4	308	193	19	12	93.211464	κ.
5	1	8	1	1	5	342	185	29	20	91.993340	Ῥο
4	1	8	1	2	0	66	217	664	34	-1	
5	1	8	1	2	1	66	217	133	23	46.971363	Ἱηστιτούτου
5	1	8	1	2	2	213	221	35	19	70.565498	καὶ
5	1	8	1	2	3	263	221	55	26	91.732704	τώρα
5	1	8	1	2	4	332	221	72	27	32.772812	μέλους
5	1	8	1	2	5	421	225	37	24	96.451508	τῆς
5	1	8	1	2	6	471	221	133	29	24.387962	᾿Ακαδημίας
5	1	8	1	2	7	615	223	115	28	83.273026	᾿Αθηνῶν).
3	1	8	2	0	0	62	252	712	282	-1	
4	1	8	2	1	0	93	252	681	33	-1	
5	1	8	2	1	1	93	252	72	27	26.538506	Ἀαλή
5	1	8	2	1	2	183	254	136	27	26.475494	σιροαίρεση
5	1	8	2	1	3	337	268	6	2	91.045525	-
5	1	8	2	1	4	364	255	137	28	83.421143	δλόκληρος
5	1	8	2	1	5	518	256	13	21	83.226028	ὃ
