level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2521	3529	-1	
2	1	1	0	0	0	0	16	2521	31	-1	
3	1	1	1	0	0	0	16	2521	31	-1	
4	1	1	1	1	0	0	16	2521	31	-1	
5	1	1	1	1	1	0	16	2521	31	95.000000	 
2	1	2	0	0	0	159	217	870	260	-1	
3	1	2	1	0	0	159	217	870	260	-1	
4	1	2	1	1	0	159	217	870	260	-1	
5	1	2	1	1	1	159	217	870	260	95.000000	  
2	1	3	0	0	0	267	508	86	19	-1	
3	1	3	1	0	0	267	508	86	19	-1	
4	1	3	1	1	0	267	508	86	19	-1	
5	1	3	1	1	1	267	508	86	19	81.847488	ΝΕΑΡΟΙ
2	1	4	0	0	0	256	508	317	51	-1	
3	1	4	1	0	0	256	508	317	51	-1	
4	1	4	1	1	0	389	508	183	21	-1	
5	1	4	1	1	1	389	508	114	21	70.279373	ΓΕΩΡΓΙΤΣ
5	1	4	1	1	2	507	510	65	19	24.821327	ΜΝΟ!
4	1	4	1	2	0	256	536	317	23	-1	
5	1	4	1	2	1	256	536	129	20	87.539848	ΑΓΑΠΗΣΤΕ
5	1	4	1	2	2	417	538	156	21	68.322014	ΟΛΟΨΥΧΑ.....
2	1	5	0	0	0	204	583	499	11	-1	
3	1	5	1	0	0	204	583	499	11	-1	
4	1	5	1	1	0	204	583	499	11	-1	
5	1	5	1	1	1	204	583	499	11	95.000000	 
2	1	6	0	0	0	749	591	92	6	-1	
3	1	6	1	0	0	749	591	92	6	-1	
4	1	6	1	1	0	749	591	92	6	-1	
5	1	6	1	1	1	749	591	92	6	95.000000	 
2	1	7	0	0	0	142	600	714	29	-1	
3	1	7	1	0	0	142	600	714	29	-1	
4	1	7	1	1	0	142	600	714	29	-1	
5	1	7	1	1	1	142	600	92	19	86.266693	ΟΡΓΑΝΟ
5	1	7	1	1	2	258	602	145	20	86.266693	ΣΥΝΔΕΣΕΩΣ
5	1	7	1	1	3	424	605	48	18	93.206276	ΤΩΝ
5	1	7	1	1	4	490	606	149	19	89.902695	ΑΠΑΝΤΑΧΟΥ
5	1	7	1	1	5	662	608	194	21	89.902695	ΓΕΩΡΓΙΤΣΙΑΝΩΝ
2	1	8	0	0	0	147	642	552	10	-1	
