level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2274	3163	-1	
2	1	1	0	0	0	40	48	722	115	-1	
3	1	1	1	0	0	40	48	722	115	-1	
4	1	1	1	1	0	40	48	722	115	-1	
5	1	1	1	1	1	40	48	722	115	95.000000	 
2	1	2	0	0	0	65	178	679	64	-1	
3	1	2	1	0	0	65	178	679	64	-1	
4	1	2	1	1	0	70	178	199	21	-1	
5	1	2	1	1	1	70	180	17	18	83.432640	ϱ
5	1	2	1	1	2	103	178	166	21	80.512421	ΤΕΝΝΗΣΕΙΣ:
4	1	2	1	2	0	65	211	679	31	-1	
5	1	2	1	2	1	65	228	26	1	64.461517	---
5	1	2	1	2	2	104	214	29	21	92.830223	Τό
5	1	2	1	2	3	145	214	74	28	90.467873	ζεῦγος
5	1	2	1	2	4	233	214	109	21	89.318970	Βασιλείου
5	1	2	1	2	5	355	213	68	28	0.000000	Ἰιώτη
5	1	2	1	2	6	436	213	147	27	94.211563	προϊσταμένου
5	1	2	1	2	7	597	211	55	28	82.918892	Ταχ.
5	1	2	1	2	8	666	211	78	28	41.141148	Τραφεί
2	1	3	0	0	0	38	251	708	313	-1	
3	1	3	1	0	0	38	251	708	313	-1	
4	1	3	1	1	0	38	251	248	27	-1	
5	1	3	1	1	1	38	259	21	12	68.494766	ου
5	1	3	1	1	2	73	251	104	27	72.568710	ἀπέχτησε
5	1	3	1	1	3	189	251	97	27	85.596481	ἀγοράκι.
4	1	3	1	2	0	65	284	680	30	-1	
5	1	3	1	2	1	65	296	22	2	72.937027	--
5	1	3	1	2	2	104	286	29	21	90.251038	Τό
5	1	3	1	2	3	148	286	73	25	87.907356	ζεῦγος
5	1	3	1	2	4	235	285	104	29	0.000000	Πεωργίου
5	1	3	1	2	5	356	284	46	22	87.487221	Ἠλ.
5	1	3	1	2	6	415	284	99	28	2.231987	Σμορνιοῦ
5	1	3	1	2	7	529	284	106	27	90.895294	ἀπέκτησε
5	1	3	1	2	8	649	284	96	27	0.000000	ἀγοράκα.
4	1	3	1	3	0	67	320	526	29	-1	
