level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1938	3066	-1	
2	1	1	0	0	0	125	42	484	26	-1	
3	1	1	1	0	0	125	42	484	26	-1	
4	1	1	1	1	0	125	42	484	26	-1	
5	1	1	1	1	1	125	46	129	22	96.417191	ΣΕΛΙΔΕΣ
5	1	1	1	1	2	272	45	61	22	96.610672	ΑΠΟ
5	1	1	1	1	3	352	45	38	21	96.610672	ΤΗ
5	1	1	1	1	4	404	43	131	21	96.232864	ΣΧΟΛΙΚΗ
5	1	1	1	1	5	551	42	58	21	96.334686	ΖΩΗ
2	1	2	0	0	0	304	90	177	6	-1	
3	1	2	1	0	0	304	90	177	6	-1	
4	1	2	1	1	0	304	90	177	6	-1	
5	1	2	1	1	1	304	90	177	6	95.000000	 
2	1	3	0	0	0	65	133	646	65	-1	
3	1	3	1	0	0	65	133	646	65	-1	
4	1	3	1	1	0	65	133	646	65	-1	
5	1	3	1	1	1	65	137	191	50	91.763214	Νηστεία
5	1	3	1	1	2	293	136	120	62	74.490433	ψωμί
5	1	3	1	1	3	430	135	74	50	93.298851	καί
5	1	3	1	1	4	524	133	187	63	45.451691	τιµωπία
2	1	4	0	0	0	230	239	330	23	-1	
3	1	4	1	0	0	230	239	330	23	-1	
4	1	4	1	1	0	230	239	330	23	-1	
5	1	4	1	1	1	230	241	57	21	96.612267	ΤΟΥ
5	1	4	1	1	2	302	248	18	14	93.275177	κ.
5	1	4	1	1	3	336	240	112	22	89.427986	ΣΠΥΡΟΥ
5	1	4	1	1	4	463	239	97	22	89.427986	ΛΟΥΒΗ
2	1	5	0	0	0	38	326	723	2478	-1	
3	1	5	1	0	0	39	326	708	210	-1	
4	1	5	1	1	0	70	326	676	32	-1	
5	1	5	1	1	1	70	330	165	28	89.390388	Διαδάζοντας
5	1	5	1	1	2	253	330	42	27	93.292641	τὴν
5	1	5	1	1	3	315	329	155	28	91.955246	«ἐκπαίδευση
5	1	5	1	1	4	490	328	44	21	93.300690	στὸ
5	1	5	1	1	5	554	327	127	28	92.037880	Γεωργίτσι
5	1	5	1	1	6	697	326	49	28	96.986069	πρὸ
4	1	5	1	2	0	40	362	706	32	-1	
5	1	5	1	2	1	40	367	38	22	96.829811	καὶ
5	1	5	1	2	2	93	366	62	28	96.123283	μετὰ
5	1	5	1	2	3	167	365	29	22	93.292114	τὸ
5	1	5	1	2	4	213	366	66	21	59.693245	Ι82]»
5	1	5	1	2	5	293	366	42	21	93.282990	τοῦ
5	1	5	1	2	6	351	365	112	21	92.574348	ἐκλεκτοῦ
5	1	5	1	2	7	476	364	70	28	93.281921	φίλου
5	1	5	1	2	8	563	364	22	21	49.297352	ΓΓ.
5	1	5	1	2	9	601	363	95	22	91.666412	Γκλέκα.
5	1	5	1	2	10	707	362	39	21	26.810684	θυ-
4	1	5	1	3	0	40	398	705	32	-1	
5	1	5	1	3	1	40	402	95	28	77.381920	µήθηκα
5	1	5	1	3	2	148	401	41	22	92.809891	ἕνα
5	1	5	1	3	3	201	401	105	22	92.809891	ἐπισόδιο
5	1	5	1	3	4	320	400	45	22	93.285492	ποὺ
5	1	5	1	3	5	379	401	46	27	91.816925	μοῦ
5	1	5	1	3	6	438	399	50	28	93.286102	εἶχε
5	1	5	1	3	7	502	399	98	28	89.706909	διηγηθῆ
5	1	5	1	3	8	612	399	13	21	93.190201	ὁ
5	1	5	1	3	9	639	398	106	27	96.667030	πατέρας
4	1	5	1	4	0	39	433	708	33	-1	
5	1	5	1	4	1	39	444	56	22	94.426865	µου,
5	1	5	1	4	2	109	437	46	22	93.292931	ποὺ
5	1	5	1	4	3	173	437	135	27	91.859306	ὑπηρέτησε
5	1	5	1	4	4	323	436	30	21	93.140724	σὰ
5	1	5	1	4	5	368	436	121	26	96.216614	δάσκαλος
5	1	5	1	4	6	504	435	43	21	93.299782	στὸ
5	1	5	1	4	7	565	434	127	28	91.193588	Γεωργίτσι
5	1	5	1	4	8	709	433	38	29	95.091736	γιὰ
4	1	5	1	5	0	41	469	706	31	-1	
5	1	5	1	5	1	41	473	41	21	93.297668	ἕνα
5	1	5	1	5	2	98	472	99	28	86.615105	χρονικὀ
5	1	5	1	5	3	217	472	118	27	96.192543	διάστηµα
5	1	5	1	5	4	354	471	61	22	96.073418	κατὰ
5	1	5	1	5	5	434	471	42	27	93.300987	τὴν
5	1	5	1	5	6	495	470	125	22	92.420746	τελευταῖα
5	1	5	1	5	7	638	469	109	22	95.878227	δεκαετία
4	1	5	1	6	0	41	508	311	28	-1	
5	1	5	1	6	1	41	509	43	20	89.029114	ποῦ
5	1	5	1	6	2	102	508	153	28	48.450375	περασμένου
5	1	5	1	6	3	273	508	79	21	91.977036	αἰῶνα.
3	1	5	2	0	0	41	541	707	137	-1	
4	1	5	2	1	0	72	541	675	30	-1	
5	1	5	2	1	1	72	543	136	28	92.445000	Ὁπατέρας
5	1	5	2	1	2	225	550	45	21	95.898895	µου
5	1	5	2	1	3	285	542	111	22	96.457611	τελείωσε
5	1	5	2	1	4	411	542	35	27	96.039566	τὶς
5	1	5	2	1	5	463	542	103	27	96.039566	σπουδές
5	1	5	2	1	6	583	548	43	15	96.204933	του
5	1	5	2	1	7	644	541	44	21	93.299248	στὸ
5	1	5	2	1	8	706	541	41	21	16.584358	[Πε-
4	1	5	2	2	0	41	576	707	31	-1	
5	1	5	2	2	1	41	579	175	28	90.536110	λοποννησιακὸ
5	1	5	2	2	2	230	579	158	21	92.963966	Διδασκαλεῖο
5	1	5	2	2	3	402	578	46	21	93.294052	ποὺ
5	1	5	2	2	4	463	577	50	28	92.190392	εἶχε
5	1	5	2	2	5	527	577	59	27	92.750320	ἕδρα
5	1	5	2	2	6	602	577	42	28	93.297707	τὴν
5	1	5	2	2	7	662	576	86	28	92.415779	Τρίπο-
4	1	5	2	3	0	42	612	706	30	-1	
5	1	5	2	3	1	42	616	30	24	69.215622	λι,
5	1	5	2	3	2	88	615	95	27	92.547325	ἀμέσως
5	1	5	2	3	3	198	615	60	27	80.598557	μετὰ
5	1	5	2	3	4	274	614	134	27	96.260437	διορίστηκε
5	1	5	2	3	5	424	614	57	27	92.064980	στὴν
5	1	5	2	3	6	498	613	86	27	88.580200	᾿Αθήνα
5	1	5	2	3	7	597	613	39	27	96.259552	γιὰ
5	1	5	2	3	8	649	612	41	21	87.459091	ἕνα
5	1	5	2	3	9	714	619	34	20	87.459091	µι-
4	1	5	2	4	0	41	648	633	30	-1	
5	1	5	2	4	1	41	650	46	28	84.251106	Κρὸ
5	1	5	2	4	2	101	650	100	28	91.686386	χρονικὸ
5	1	5	2	4	3	217	650	126	27	95.448082	διάστηµα,
5	1	5	2	4	4	356	650	38	20	85.607742	Καὶ
5	1	5	2	4	5	407	649	61	27	96.467628	μετὰ
5	1	5	2	4	6	482	648	44	21	93.300789	στὸ
5	1	5	2	4	7	540	648	134	27	76.701683	Γεωργίτοι.
3	1	5	3	0	0	42	682	708	208	-1	
4	1	5	3	1	0	76	682	672	31	-1	
5	1	5	3	1	1	76	686	116	21	54.116287	αΕτσιστὰ
5	1	5	3	1	2	205	686	85	27	91.854515	πρῶτα
5	1	5	3	1	3	302	692	44	14	96.982674	του
5	1	5	3	1	4	357	684	87	28	96.855080	χρόνια
5	1	5	3	1	5	459	684	44	21	90.918732	στὸ
5	1	5	3	1	6	518	683	135	28	85.804596	Γεωργίτσι,
5	1	5	3	1	7	669	682	79	28	96.901497	ἐπειδὴ
4	1	5	3	2	0	42	717	707	32	-1	
5	1	5	3	2	1	42	721	111	28	92.917740	ἀγάπαγε
5	1	5	3	2	2	168	721	29	21	92.890472	τὸ
5	1	5	3	2	3	213	721	138	27	90.976524	ἐπάγγελμά
5	1	5	3	2	4	364	727	43	14	93.295410	του
5	1	5	3	2	5	421	720	60	27	69.304077	γιατὶ
5	1	5	3	2	6	495	719	65	27	93.302498	ὅπως
5	1	5	3	2	7	572	719	103	28	75.752335	μοὔλεγε
5	1	5	3	2	8	690	717	59	29	96.874977	ἦταν
4	1	5	3	3	0	42	754	707	30	-1	
5	1	5	3	3	1	42	757	144	27	41.812611	φτιαγµένος
5	1	5	3	3	2	202	756	38	28	95.904388	γιὰ
5	1	5	3	3	3	256	756	128	26	96.206497	δάσκαλος,
5	1	5	3	3	4	399	756	37	21	91.112045	Καὶ
5	1	5	3	3	5	452	755	44	21	90.764687	σὰν
5	1	5	3	3	6	510	755	53	27	96.845657	νέος
5	1	5	3	3	7	577	754	46	22	92.360245	ποὺ
5	1	5	3	3	8	639	754	72	28	52.265186	ἥτανε
5	1	5	3	3	9	722	754	27	27	89.107750	ἐρ
4	1	5	3	4	0	42	790	708	30	-1	
5	1	5	3	4	1	42	792	118	28	91.866470	γαζότανε
5	1	5	3	4	2	175	792	29	28	84.958824	µέ
5	1	5	3	4	3	218	792	58	27	90.688850	ζῆλο
5	1	5	3	4	4	288	792	38	21	93.299744	καὶ
5	1	5	3	4	5	340	790	166	28	92.429405	ἐνθουσιασμὸ,
5	1	5	3	4	6	519	791	38	20	93.289520	καὶ
5	1	5	3	4	7	573	790	46	21	93.223129	ὅλα
5	1	5	3	4	8	634	790	116	27	96.536705	πήγαιναν
