level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2600	3439	-1	
2	1	1	0	0	0	31	24	2569	41	-1	
3	1	1	1	0	0	31	24	2569	41	-1	
4	1	1	1	1	0	31	24	2569	41	-1	
5	1	1	1	1	1	31	24	2569	41	95.000000	 
2	1	2	0	0	0	646	238	823	13	-1	
3	1	2	1	0	0	646	238	823	13	-1	
4	1	2	1	1	0	646	238	823	13	-1	
5	1	2	1	1	1	646	238	823	13	95.000000	 
2	1	3	0	0	0	338	237	472	28	-1	
3	1	3	1	0	0	338	237	472	28	-1	
4	1	3	1	1	0	338	237	472	28	-1	
5	1	3	1	1	1	338	237	35	28	34.720695	μα
5	1	3	1	1	2	396	251	66	6	1.437469	ο
5	1	3	1	1	3	529	237	94	28	0.000000	---ὸῃὴ
5	1	3	1	1	4	708	248	102	4	0.000000	μ--..
2	1	4	0	0	0	232	297	662	92	-1	
3	1	4	1	0	0	232	297	662	99	-1	
4	1	4	1	1	0	232	297	662	92	-1	
5	1	4	1	1	1	232	297	259	92	9.837936	ΚΟΠ
5	1	4	1	1	2	502	298	197	87	0.000000	ΞΦΗΠ
5	1	4	1	1	3	728	298	166	96	0.000000	ΚΑ,
2	1	5	0	0	0	169	416	753	1986	-1	
3	1	5	1	0	0	193	416	712	98	-1	
4	1	5	1	1	0	223	416	682	28	-1	
5	1	5	1	1	1	223	422	170	21	81.715080	ΠΕΝΝΗΣΕΙΣ:
5	1	5	1	1	2	423	421	33	19	69.227173	Το
5	1	5	1	1	3	467	420	75	24	91.837547	ζεύγος
5	1	5	1	1	4	566	419	109	22	70.397537	Κων)νου
5	1	5	1	1	5	703	418	50	18	55.999611	ΧΝιν.
5	1	5	1	1	6	782	416	123	23	89.448166	Καραλέμα
4	1	5	1	2	0	193	456	401	24	-1	
5	1	5	1	2	1	193	464	56	16	80.774963	στην
5	1	5	1	2	2	259	459	79	20	62.700691	Αβήνα
5	1	5	1	2	3	349	457	113	20	77.614334	απέπτησε
5	1	5	1	2	4	474	456	120	23	0.000000	πορυτσωιι.
4	1	5	1	3	0	193	481	690	33	-1	
5	1	5	1	3	1	193	504	25	5	36.805634	--
5	1	5	1	3	2	231	495	19	17	62.536423	Ἡ
5	1	5	1	3	3	261	494	77	19	41.419964	Ελένα
5	1	5	1	3	4	348	494	26	17	89.524734	Π.
