level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2341	3576	-1	
2	1	1	0	0	0	30	29	2307	22	-1	
3	1	1	1	0	0	30	29	2307	22	-1	
4	1	1	1	1	0	30	29	2307	22	-1	
5	1	1	1	1	1	30	29	2307	22	95.000000	 
2	1	2	0	0	0	11	1821	207	11	-1	
3	1	2	1	0	0	11	1821	207	11	-1	
4	1	2	1	1	0	11	1821	207	11	-1	
5	1	2	1	1	1	11	1824	76	7	0.000000	εκσοπκαι
5	1	2	1	1	2	95	1809	11	33	0.000000	κ
5	1	2	1	1	3	108	1809	67	33	0.000000	άσεσεοτ
5	1	2	1	1	4	183	1809	35	33	0.000000	εὍ--
2	1	3	0	0	0	473	229	165	92	-1	
3	1	3	1	0	0	473	229	165	92	-1	
4	1	3	1	1	0	473	229	165	92	-1	
5	1	3	1	1	1	473	229	165	92	26.716278	Ν
2	1	4	0	0	0	473	276	210	178	-1	
3	1	4	1	0	0	473	276	210	178	-1	
4	1	4	1	1	0	473	276	210	178	-1	
5	1	4	1	1	1	473	276	210	178	4.052048	-ἲ
2	1	5	0	0	0	133	217	331	247	-1	
3	1	5	1	0	0	133	217	331	247	-1	
4	1	5	1	1	0	133	217	331	247	-1	
5	1	5	1	1	1	133	217	331	247	95.000000	 
2	1	6	0	0	0	459	189	347	277	-1	
3	1	6	1	0	0	459	189	356	277	-1	
4	1	6	1	1	0	459	189	347	277	-1	
5	1	6	1	1	1	459	189	347	277	36.058193	τε
2	1	7	0	0	0	351	498	182	20	-1	
3	1	7	1	0	0	351	498	182	20	-1	
4	1	7	1	1	0	351	498	182	20	-1	
5	1	7	1	1	1	351	498	182	20	90.228844	ΓΕΩΡΓΙΤΣΙΑΝΟΙ
2	1	8	0	0	0	221	498	315	51	-1	
3	1	8	1	0	0	221	498	315	51	-1	
4	1	8	1	1	0	231	498	84	19	-1	
5	1	8	1	1	1	231	498	84	19	87.903816	ΝΕΑΡΟΙ
4	1	8	1	2	0	221	528	315	21	-1	
5	1	8	1	2	1	221	528	129	20	89.285843	ΑΓΑΠΗΣΤΕ
5	1	8	1	2	2	380	528	156	21	60.451553	ΟΛΟΨΥΧΑ....
2	1	9	0	0	0	723	578	92	5	-1	
3	1	9	1	0	0	723	578	92	5	-1	
4	1	9	1	1	0	723	578	92	5	-1	
5	1	9	1	1	1	723	578	92	5	95.000000	 
2	1	10	0	0	0	1557	99	463	24	-1	
3	1	10	1	0	0	1557	99	463	24	-1	
