level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2543	3546	-1	
2	1	1	0	0	0	189	2708	3	7	-1	
3	1	1	1	0	0	189	2708	3	7	-1	
4	1	1	1	1	0	189	2708	3	7	-1	
5	1	1	1	1	1	189	2708	3	7	0.000000	:
2	1	2	0	0	0	179	27	2346	27	-1	
3	1	2	1	0	0	179	27	2346	27	-1	
4	1	2	1	1	0	179	27	2346	27	-1	
5	1	2	1	1	1	179	27	2346	27	95.000000	 
2	1	3	0	0	0	189	933	12	24	-1	
3	1	3	1	0	0	189	933	12	24	-1	
4	1	3	1	1	0	189	933	12	24	-1	
5	1	3	1	1	1	189	933	12	24	0.000000	Ἵψε
2	1	4	0	0	0	225	618	722	40	-1	
3	1	4	1	0	0	225	618	722	40	-1	
4	1	4	1	1	0	225	618	722	40	-1	
5	1	4	1	1	1	225	642	2	2	56.933002	:
5	1	4	1	1	2	241	631	74	27	56.933002	ἄλλες
5	1	4	1	1	3	331	627	109	29	91.960922	ζωτικές
5	1	4	1	1	4	452	624	143	30	66.718018	σωματικές
5	1	4	1	1	5	612	622	123	28	92.517441	ἰδιότητες
5	1	4	1	1	6	749	620	32	22	96.077866	θά
5	1	4	1	1	7	797	619	64	29	93.228928	ἦταν
5	1	4	1	1	8	875	618	72	22	54.906883	δυνα-
2	1	5	0	0	0	220	794	730	150	-1	
3	1	5	1	0	0	220	794	730	150	-1	
4	1	5	1	1	0	223	794	726	42	-1	
5	1	5	1	1	1	223	808	69	28	0.000000	«φές
5	1	5	1	1	2	303	815	61	19	93.242554	τους
5	1	5	1	1	3	377	803	165	29	33.688850	Λέιτουργίες,
5	1	5	1	1	4	557	801	91	29	85.164215	µερικά
5	1	5	1	1	5	661	799	79	28	91.853653	ἄτομα
5	1	5	1	1	6	751	797	42	22	92.798660	δέν
5	1	5	1	1	7	807	797	74	28	92.798660	ἔχουν
5	1	5	1	1	8	894	794	55	22	71.032272	ἄνά-
4	1	5	1	2	0	234	830	715	42	-1	
5	1	5	1	2	1	234	844	60	28	0.000000	:γκη
5	1	5	1	2	2	312	842	48	22	93.146622	ἀπό
5	1	5	1	2	3	373	841	122	28	44.863205	φάρμακα
5	1	5	1	2	4	511	838	42	28	96.170486	γιά
5	1	5	1	2	5	571	837	31	22	95.109657	νά
5	1	5	1	2	6	619	834	156	28	92.608566	ἀποτρέπουν
5	1	5	1	2	7	790	832	39	28	91.810852	τίς
5	1	5	1	2	8	846	830	103	23	74.762291	ἐπιπτώ-
4	1	5	1	3	0	222	865	728	41	-1	
5	1	5	1	3	1	222	874	78	32	0.000000	εσεις
5	1	5	1	3	2	312	879	44	21	96.892227	τοῦ
5	1	5	1	3	3	370	876	118	28	93.257408	γήρατος.
5	1	5	1	3	4	507	873	31	23	44.088398	'Ο
5	1	5	1	3	5	554	874	62	25	91.157021	νοῦς
5	1	5	1	3	6	627	878	61	20	95.789009	τους
5	1	5	1	3	7	700	869	44	22	95.695244	δέν
5	1	5	1	3	8	756	867	107	28	93.275406	παρέχει
5	1	5	1	3	9	876	865	74	23	82.477364	ἐνδεί-
4	1	5	1	4	0	220	905	678	39	-1	
5	1	5	1	4	1	220	940	11	3	9.937073	ο
5	1	5	1	4	2	247	915	55	27	20.085022	δεις
5	1	5	1	4	3	312	913	104	31	95.601669	τέτοιων
5	1	5	1	4	4	427	905	170	35	37.778831	ἐπιιτώσεων.
5	1	5	1	4	5	896	912	2	2	51.026215	[
2	1	6	0	0	0	253	205	604	207	-1	
3	1	6	1	0	0	253	205	604	207	-1	
4	1	6	1	1	0	253	205	183	23	-1	
5	1	6	1	1	1	253	209	31	19	90.996460	το
5	1	6	1	1	2	296	205	140	22	21.604218	ΓΕΩΡΓΙΤΣ!.
4	1	6	1	2	0	385	285	425	50	-1	
5	1	6	1	2	1	385	293	52	42	90.394806	Σέ
5	1	6	1	2	2	455	289	245	43	42.641228	ἀναζήτηση
5	1	6	1	2	3	722	285	88	41	83.195053	τοῦ
4	1	6	1	3	0	325	357	532	55	-1	
5	1	6	1	3	1	325	363	216	49	90.037163	ἐλιξηρίου
5	1	6	1	3	2	562	363	71	42	93.301102	τῆς
5	1	6	1	3	3	655	357	202	55	92.044487	νεότητος
2	1	7	0	0	0	523	420	139	8	-1	
3	1	7	1	0	0	523	420	139	8	-1	
4	1	7	1	1	0	523	420	139	8	-1	
5	1	7	1	1	1	523	420	139	8	95.000000	 
2	1	8	0	0	0	239	441	708	183	-1	
3	1	8	1	0	0	239	441	708	183	-1	
4	1	8	1	1	0	267	441	678	41	-1	
5	1	8	1	1	1	267	448	125	34	78.239777	Ἔρευνες
5	1	8	1	1	2	408	450	43	22	76.082245	στό
5	1	8	1	1	3	467	447	192	31	79.705376	Πανεπιστήμιο
5	1	8	1	1	4	672	446	44	21	96.901321	τοῦ
5	1	8	1	1	5	730	441	155	29	54.548702	Καἴϊμπριτξ,
5	1	8	1	1	6	898	443	47	26	96.707146	τῆς
4	1	8	1	2	0	239	476	706	41	-1	
5	1	8	1	2	1	239	489	131	28	20.402084	λΑγγλίας,
5	1	8	1	2	2	385	486	98	26	92.860825	ἔδειξαν
5	1	8	1	2	3	499	483	58	28	96.001030	πώς
5	1	8	1	2	4	571	481	99	29	26.081306	μερικοί
5	1	8	1	2	5	688	477	162	31	51.589127	ἡλιπιωμένοι
