level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2570	3543	-1	
2	1	1	0	0	0	146	416	82	203	-1	
3	1	1	1	0	0	146	416	82	203	-1	
4	1	1	1	1	0	146	416	82	203	-1	
5	1	1	1	1	1	146	416	82	203	95.000000	 
2	1	2	0	0	0	282	655	612	24	-1	
3	1	2	1	0	0	282	655	612	24	-1	
4	1	2	1	1	0	282	655	612	24	-1	
5	1	2	1	1	1	282	674	10	4	65.768600	ο
5	1	2	1	1	2	311	665	25	7	17.728188	σι
5	1	2	1	1	3	348	657	20	18	81.203163	Ἡ
5	1	2	1	1	4	381	657	118	22	29.079041	Αγγελή
5	1	2	1	1	5	515	656	28	19	82.155373	Ν.
5	1	2	1	1	6	558	656	126	23	0.000000	Δαμπρόνη
5	1	2	1	1	7	694	656	46	20	91.881393	από
5	1	2	1	1	8	753	660	28	16	80.642700	το
5	1	2	1	1	9	796	655	98	23	44.712845	Κωαστόρι
2	1	3	0	0	0	46	2574	13	194	-1	
3	1	3	1	0	0	46	2551	13	217	-1	
4	1	3	1	1	0	46	2574	13	194	-1	
5	1	3	1	1	1	46	2551	13	217	0.000000	ου
2	1	4	0	0	0	49	37	1166	53	-1	
3	1	4	1	0	0	49	37	1166	53	-1	
4	1	4	1	1	0	49	37	1166	53	-1	
5	1	4	1	1	1	49	37	1166	53	95.000000	 
2	1	5	0	0	0	284	186	205	32	-1	
3	1	5	1	0	0	284	186	205	32	-1	
4	1	5	1	1	0	284	186	205	32	-1	
5	1	5	1	1	1	284	186	178	32	0.000000	ΟΤΕΟΡΤΙΤΣΙ
5	1	5	1	1	2	487	206	2	4	30.451675	'
2	1	6	0	0	0	319	268	709	124	-1	
3	1	6	1	0	0	319	268	709	124	-1	
4	1	6	1	1	0	319	268	709	124	-1	
5	1	6	1	1	1	319	268	709	124	95.000000	 
2	1	7	0	0	0	295	405	729	311	-1	
3	1	7	1	0	0	308	405	716	131	-1	
4	1	7	1	1	0	334	405	690	24	-1	
5	1	7	1	1	1	334	406	171	26	59.691742	ΡΕΝΝΗΣΕΙΣ:
5	1	7	1	1	2	526	407	19	17	56.514549	Η
5	1	7	1	1	3	559	406	102	27	89.217773	Ποτούλα
5	1	7	1	1	4	672	406	87	22	49.729458	σύξυγος
5	1	7	1	1	5	774	405	88	23	20.233673	Ποινον.
5	1	7	1	1	6	879	406	91	23	0.000000	Βλάχου
5	1	7	1	1	7	980	406	44	22	70.632217	γέν
4	1	7	1	2	0	312	427	712	58	-1	
5	1	7	1	2	1	312	445	55	17	66.812347	νησε
5	1	7	1	2	2	381	446	39	16	85.085541	στη
5	1	7	1	2	3	432	441	93	23	20.716431	Σπάρτη,
