level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2541	3511	-1	
2	1	1	0	0	0	2150	25	391	7	-1	
3	1	1	1	0	0	2150	25	391	7	-1	
4	1	1	1	1	0	2150	25	391	7	-1	
5	1	1	1	1	1	2150	25	391	7	95.000000	 
2	1	2	0	0	0	109	30	1828	26	-1	
3	1	2	1	0	0	109	30	1828	26	-1	
4	1	2	1	1	0	109	30	1828	26	-1	
5	1	2	1	1	1	109	30	1828	26	95.000000	 
2	1	3	0	0	0	273	2697	533	45	-1	
3	1	3	1	0	0	273	2697	533	45	-1	
4	1	3	1	1	0	273	2697	533	45	-1	
5	1	3	1	1	1	273	2705	3	1	0.000000	ι
5	1	3	1	1	2	297	2702	106	40	26.905846	σμητυκό
5	1	3	1	1	3	406	2700	68	21	46.374092	ἀλλά
5	1	3	1	1	4	486	2700	44	21	74.538116	καί
5	1	3	1	1	5	539	2699	64	21	54.786526	σεολύ
5	1	3	1	1	6	618	2695	188	29	61.149143	σεροσοδοφόρο.
2	1	4	0	0	0	273	200	212	27	-1	
3	1	4	1	0	0	273	200	212	27	-1	
4	1	4	1	1	0	273	200	212	27	-1	
5	1	4	1	1	1	273	202	43	17	91.934044	«το
5	1	4	1	1	2	326	200	140	27	39.002552	ΓΕΩΡΓΙΤΣΙ»
2	1	5	0	0	0	283	238	422	10	-1	
3	1	5	1	0	0	283	238	422	10	-1	
4	1	5	1	1	0	283	238	422	10	-1	
5	1	5	1	1	1	283	238	422	10	95.000000	 
2	1	6	0	0	0	313	277	644	60	-1	
3	1	6	1	0	0	313	277	644	60	-1	
4	1	6	1	1	0	313	277	644	60	-1	
5	1	6	1	1	1	313	289	143	47	91.874794	Ἕνας
5	1	6	1	1	2	476	286	148	48	92.147797	πόδος
5	1	6	1	1	3	645	286	90	51	92.399200	μᾶς
5	1	6	1	1	4	756	277	171	48	48.323135	ἑνώνεε
5	1	6	1	1	5	950	298	7	23	93.069504	:
2	1	7	0	0	0	406	372	453	27	-1	
3	1	7	1	0	0	406	372	453	27	-1	
4	1	7	1	1	0	406	372	453	27	-1	
5	1	7	1	1	1	406	377	22	22	92.301292	Η
5	1	7	1	1	2	441	374	211	24	92.315819	ΣΥΓΚΡΑΤΗΣΗ
5	1	7	1	1	3	661	373	63	23	96.354782	ΤΟΥ
5	1	7	1	1	4	733	372	126	23	41.653900	ΧΩΡΙΟΥ
2	1	8	0	0	0	560	418	142	7	-1	
3	1	8	1	0	0	560	418	142	7	-1	
4	1	8	1	1	0	560	418	142	7	-1	
5	1	8	1	1	1	560	418	142	7	95.000000	 
2	1	9	0	0	0	277	441	734	1664	-1	
3	1	9	1	0	0	277	441	712	247	-1	
4	1	9	1	1	0	304	441	681	34	-1	
5	1	9	1	1	1	304	448	72	21	68.082619	Ἰόνο
5	1	9	1	1	2	391	448	31	27	86.726547	µέ
5	1	9	1	1	3	437	446	50	28	93.295746	τήν
5	1	9	1	1	4	503	445	130	27	53.102753	ἀνάπτυξη
5	1	9	1	1	5	647	445	49	26	96.606972	τῆς
5	1	9	1	1	6	713	442	168	28	90.384865	συνεργασίας
5	1	9	1	1	7	922	441	63	21	72.136215	ὅλων
4	1	9	1	2	0	277	477	709	33	-1	
5	1	9	1	2	1	277	485	51	20	93.221092	τῶν
5	1	9	1	2	2	339	481	211	29	91.286758	Γεωργιτοιάνων
5	1	9	1	2	3	568	480	33	21	96.172768	θά
5	1	9	1	2	4	613	479	67	22	96.477173	εἶναι
5	1	9	1	2	5	696	478	106	22	96.760330	δυνατόν
5	1	9	1	2	6	816	478	33	21	93.300926	νά
5	1	9	1	2	7	863	477	123	26	66.807640	ἀξιοποιη-
4	1	9	1	3	0	277	511	710	33	-1	
5	1	9	1	3	1	277	518	60	22	92.524590	θοῦν
5	1	9	1	3	2	351	518	24	21	93.288254	οἳ
5	1	9	1	3	3	387	517	169	27	96.214607	δυνατότητες
5	1	9	1	3	4	565	517	51	26	91.633614	τῆς
5	1	9	1	3	5	627	507	162	41	90.285904	οἰκονομικῆς
5	1	9	1	3	6	806	507	181	41	60.184502	ἀνασυγκρότη-
4	1	9	1	4	0	279	546	708	35	-1	
5	1	9	1	4	1	279	560	47	21	93.276817	σης
5	1	9	1	4	2	341	553	46	22	84.665810	καΐ
5	1	9	1	4	3	400	553	32	22	93.152412	νά
5	1	9	1	4	4	449	551	152	22	92.098160	θελτιωθοῦν
5	1	9	1	4	5	614	550	22	22	93.196136	οἳ
5	1	9	1	4	6	652	549	129	28	32.173630	συνθῆκες,
5	1	9	1	4	7	795	549	71	26	57.148205	ἑωῆῇς
5	1	9	1	4	8	881	547	42	22	96.773659	στό
5	1	9	1	4	9	939	546	48	28	56.194450	χω:
4	1	9	1	5	0	279	581	709	36	-1	
5	1	9	1	5	1	279	589	46	28	88.561859	ριό.
5	1	9	1	5	2	345	588	36	23	12.347252	Ἡ
5	1	9	1	5	3	395	588	75	29	86.062675	µέχρι
