level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2593	3606	-1	
2	1	1	0	0	0	74	22	2477	10	-1	
3	1	1	1	0	0	74	22	2477	10	-1	
4	1	1	1	1	0	74	22	2477	10	-1	
5	1	1	1	1	1	74	22	2477	10	95.000000	 
2	1	2	0	0	0	18	1802	161	45	-1	
3	1	2	1	0	0	18	1802	161	45	-1	
4	1	2	1	1	0	18	1802	161	45	-1	
5	1	2	1	1	1	18	1802	161	45	95.000000	 
2	1	3	0	0	0	0	2712	140	63	-1	
3	1	3	1	0	0	0	2712	140	63	-1	
4	1	3	1	1	0	0	2712	140	63	-1	
5	1	3	1	1	1	0	2712	140	63	0.000000	..
2	1	4	0	0	0	157	1379	717	30	-1	
3	1	4	1	0	0	157	1379	717	30	-1	
4	1	4	1	1	0	157	1379	717	30	-1	
5	1	4	1	1	1	157	1387	69	22	40.680275	ους.
5	1	4	1	1	2	248	1380	108	28	59.676548	᾿Αρχικά
5	1	4	1	1	3	370	1381	15	27	26.674339	ἤ
5	1	4	1	1	4	403	1380	104	28	92.920464	περιοχή
5	1	4	1	1	5	524	1380	78	26	76.353149	ἀνῆκε
5	1	4	1	1	6	618	1380	75	27	93.303085	στούς
5	1	4	1	1	7	709	1379	165	27	88.864548	Σπαρτιᾶτες.
2	1	5	0	0	0	176	277	147	22	-1	
3	1	5	1	0	0	176	277	147	22	-1	
4	1	5	1	1	0	176	277	147	22	-1	
5	1	5	1	1	1	176	277	147	22	42.106667	ΤΕΟΩΡΤΙΤΣΙ
2	1	6	0	0	0	222	320	978	6	-1	
3	1	6	1	0	0	222	320	978	6	-1	
4	1	6	1	1	0	222	320	978	6	-1	
5	1	6	1	1	1	222	320	978	6	95.000000	 
2	1	7	0	0	0	285	371	489	48	-1	
3	1	7	1	0	0	285	371	489	48	-1	
4	1	7	1	1	0	285	371	489	48	-1	
