level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2289	3142	-1	
2	1	1	0	0	0	57	40	351	53	-1	
3	1	1	1	0	0	57	40	351	53	-1	
4	1	1	1	1	0	71	40	316	23	-1	
5	1	1	1	1	1	71	40	120	21	96.643906	ΕΚΕΙΝΟΙ
5	1	1	1	1	2	203	41	59	21	96.186279	ΠΟΥ
5	1	1	1	1	3	272	41	115	22	95.840057	ΕΦΥΓΑΝ
4	1	1	1	2	0	57	74	351	19	-1	
5	1	1	1	2	1	57	74	351	19	11.505554	[νο
5	1	1	1	2	2	199	66	59	39	24.177216	οκ
5	1	1	1	2	3	280	74	128	19	26.907570	οσο
2	1	2	0	0	0	135	111	195	76	-1	
3	1	2	1	0	0	135	111	195	76	-1	
4	1	2	1	1	0	135	111	195	22	-1	
5	1	2	1	1	1	135	111	195	22	77.506042	ΠΑΝΑΙΓΙΩΤΗΣ
4	1	2	1	2	0	156	165	155	22	-1	
5	1	2	1	2	1	156	166	14	20	78.184479	Ι.
5	1	2	1	2	2	189	165	122	22	96.326202	ΜΟΡΦΗΣ
2	1	3	0	0	0	48	236	358	1439	-1	
3	1	3	1	0	0	51	236	355	801	-1	
4	1	3	1	1	0	82	236	323	28	-1	
5	1	3	1	1	1	82	236	25	21	80.954391	Ὁ
5	1	3	1	1	2	120	236	152	28	95.627525	Παναγιώτης
5	1	3	1	1	3	287	237	23	21	34.641006	|.
5	1	3	1	1	4	340	236	65	28	92.146667	Μόρ-
4	1	3	1	2	0	52	271	353	29	-1	
5	1	3	1	2	1	52	278	44	21	39.540833	Φης
5	1	3	1	2	2	108	271	125	29	96.302063	γεννήθηκε
5	1	3	1	2	3	249	272	43	21	93.298561	στὸ
5	1	3	1	2	4	306	272	99	28	90.192757	Γεωργί-
4	1	3	1	3	0	51	307	353	28	-1	
5	1	3	1	3	1	51	313	36	15	90.598015	τσι
5	1	3	1	3	2	99	307	27	21	96.355217	τό
5	1	3	1	3	3	140	307	54	21	84.076515	1895
5	1	3	1	3	4	202	308	38	21	91.954803	καὶ
5	1	3	1	3	5	250	308	86	21	95.631203	πέθανε
5	1	3	1	3	6	347	308	57	27	95.716240	στήν
4	1	3	1	4	0	53	342	351	28	-1	
5	1	3	1	4	1	53	342	84	28	88.255875	᾿Αθήνα
5	1	3	1	4	2	151	342	28	21	96.510498	τό
5	1	3	1	4	3	197	343	60	21	0.000000	1972.
5	1	3	1	4	4	278	343	26	21	53.696625	Ἡ
5	1	3	1	4	5	318	343	86	27	96.351791	πορεία
4	1	3	1	5	0	52	378	351	28	-1	
5	1	3	1	5	1	52	385	43	14	96.727577	του
5	1	3	1	5	2	110	378	47	21	93.025726	ἀπό
5	1	3	1	5	3	172	378	28	21	91.069595	τό
5	1	3	1	5	4	217	378	127	28	78.531960	Γεωργίτσι
5	1	3	1	5	5	358	378	45	22	96.936996	στό
4	1	3	1	6	0	53	413	351	29	-1	
5	1	3	1	6	1	53	413	115	27	17.063377	Γυμνάσιο
5	1	3	1	6	2	196	415	43	26	67.254242	τῆς
5	1	3	1	6	3	285	414	119	28	67.254242	Σπάρπης,
4	1	3	1	7	0	52	449	352	28	-1	
5	1	3	1	7	1	52	449	44	21	44.756142	στὰ
5	1	3	1	7	2	111	449	178	28	51.714584	Πανεπιστήμια
5	1	3	1	7	3	303	450	101	27	87.004333	᾿Αθηνῶν
4	1	3	1	8	0	53	484	350	28	-1	
5	1	3	1	8	1	53	484	37	21	79.700928	καί
5	1	3	1	8	2	106	484	130	28	92.824203	᾽Αμερικῆς,
5	1	3	1	8	3	253	484	77	28	88.030815	ἂφησε
5	1	3	1	8	4	347	485	56	27	91.823578	ζωη-
4	1	3	1	9	0	52	520	352	28	-1	
5	1	3	1	9	1	52	520	30	27	92.406219	ρή
5	1	3	1	9	2	90	520	41	27	93.276512	τήν
5	1	3	1	9	3	144	520	122	28	72.395470	ἀνάμνηση
5	1	3	1	9	4	276	521	43	20	93.263283	τοῦ
5	1	3	1	9	5	329	521	75	21	92.799591	καιλοῦ
4	1	3	1	10	0	52	556	352	27	-1	
5	1	3	1	10	1	52	556	98	27	92.057281	μαθητῆ,
5	1	3	1	10	2	159	556	44	21	93.298409	τοῦ
5	1	3	1	10	3	211	556	76	21	61.415363	καλοῦ
5	1	3	1	10	4	297	557	107	26	86.006577	φοιπητῆ,
4	1	3	1	11	0	54	590	351	29	-1	
5	1	3	1	11	1	54	592	41	20	93.295097	τοῦ
5	1	3	1	11	2	109	590	99	28	73.791962	ἄριστου
5	1	3	1	11	3	220	591	123	28	45.989475	καθηγητή
5	1	3	1	11	4	365	591	40	21	88.888969	καί
4	1	3	1	12	0	53	626	351	28	-1	
5	1	3	1	12	1	53	627	41	20	87.491241	τοῦ
5	1	3	1	12	2	121	626	126	28	80.878067	ἐξαίρεπου
5	1	3	1	12	3	276	627	128	27	80.878067	Διευθυντῆ
4	1	3	1	13	0	51	662	351	27	-1	
5	1	3	1	13	1	51	662	175	27	86.129349	Παιδαγωγικῆς
5	1	3	1	13	2	254	662	3	8	28.442131	᾿
5	1	3	1	13	3	260	662	142	27	28.442131	Ακαδημίας.
4	1	3	1	14	0	52	696	352	29	-1	
5	1	3	1	14	1	52	696	32	22	93.299583	Τό
5	1	3	1	14	2	94	696	76	28	90.239128	ὑψηλό
5	1	3	1	14	3	181	697	118	28	11.980255	φρόνημα,
5	1	3	1	14	4	309	697	28	21	93.303131	τό
5	1	3	1	14	5	347	697	57	21	92.293121	ἄδα-
4	1	3	1	15	0	56	730	348	28	-1	
5	1	3	1	15	1	56	731	96	26	63.398052	µἀνπινο
5	1	3	1	15	2	167	730	65	27	92.289078	ἦθος,
5	1	3	1	15	3	253	732	13	26	92.632660	ἡ
5	1	3	1	15	4	283	731	121	27	67.125732	ἀπέραντη
4	1	3	1	16	0	51	764	355	26	-1	
5	1	3	1	16	1	51	764	132	26	67.579041	καιλωσύνη,
5	1	3	1	16	2	197	765	13	25	90.311958	ἡ
5	1	3	1	16	3	221	765	185	25	38.480011	πιαριαιδεῃηµιαπι-
4	1	3	1	17	0	51	797	353	29	-1	
5	1	3	1	17	1	51	797	28	28	89.776833	κή
5	1	3	1	17	2	91	797	141	29	24.145271	ἐντιμόπηπα
5	1	3	1	17	3	244	798	57	28	92.875023	σπήν
5	1	3	1	17	4	313	798	91	22	81.770691	ἐκπέλε-
4	1	3	1	18	0	51	833	352	28	-1	
5	1	3	1	18	1	51	840	30	20	96.803192	ση
5	1	3	1	18	2	91	834	43	20	93.283272	τοῦ
5	1	3	1	18	3	145	833	157	27	92.154411	Καθήκοντος,
5	1	3	1	18	4	317	834	29	21	93.229599	θὰ
5	1	3	1	18	5	358	841	45	20	93.229599	φω-
4	1	3	1	19	0	51	868	352	27	-1	
5	1	3	1	19	1	51	868	76	27	92.177078	τίζουν
5	1	3	1	19	2	137	868	39	21	95.933502	καί
5	1	3	1	19	3	186	869	31	20	71.055199	θὰ
5	1	3	1	19	4	228	869	125	21	93.288071	διδάσκουν
5	1	3	1	19	5	380	869	23	21	87.454819	ὅ-
4	1	3	1	20	0	51	903	352	27	-1	
5	1	3	1	20	1	51	904	56	26	89.317780	λους
5	1	3	1	20	2	120	903	101	27	86.822113	ἐκείνους
5	1	3	1	20	3	247	904	47	21	86.822113	πιού
5	1	3	1	20	4	325	904	78	21	73.895874	ἐπιθυ-
4	1	3	1	21	0	51	939	351	27	-1	
5	1	3	1	21	1	51	940	58	26	92.137474	μοῦν
5	1	3	1	21	2	121	939	20	20	90.842102	ν᾿
5	1	3	1	21	3	156	939	107	27	92.026825	ἀφήσουν
5	1	3	1	21	4	276	939	74	27	86.960320	καλήν
5	1	3	1	21	5	380	939	22	21	45.126934	ὁἌ-
4	1	3	1	22	0	51	974	351	28	-1	
5	1	3	1	22	1	51	974	161	27	80.616043	στεροφηµίαν
5	1	3	1	22	2	224	974	39	21	73.199425	Καί
5	1	3	1	22	3	274	974	128	28	62.287933	παράδει-
4	1	3	1	23	0	51	1009	214	28	-1	
5	1	3	1	23	1	51	1016	33	21	74.474396	μα
5	1	3	1	23	2	95	1009	60	27	93.303986	πρός
5	1	3	1	23	3	162	1009	103	28	57.956192	µίµησιν.
3	1	3	2	0	0	49	1045	353	240	-1	
4	1	3	2	1	0	81	1045	321	28	-1	
5	1	3	2	1	1	81	1045	25	21	35.147766	“Ἡ
5	1	3	2	1	2	117	1045	47	21	93.295380	ἀπό
5	1	3	2	1	3	176	1045	111	28	91.199478	ἐκλεκτήν
5	1	3	2	1	4	312	1045	90	28	85.733215	οἰκογέ-
4	1	3	2	2	0	50	1080	352	28	-1	
