level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2673	3510	-1	
2	1	1	0	0	0	165	0	52	7	-1	
3	1	1	1	0	0	165	0	52	7	-1	
4	1	1	1	1	0	165	0	52	7	-1	
5	1	1	1	1	1	165	0	52	7	95.000000	 
2	1	2	0	0	0	213	2669	86	90	-1	
3	1	2	1	0	0	213	2669	86	90	-1	
4	1	2	1	1	0	213	2669	86	90	-1	
5	1	2	1	1	1	213	2669	86	90	95.000000	 
2	1	3	0	0	0	236	3491	697	19	-1	
3	1	3	1	0	0	236	3491	697	19	-1	
4	1	3	1	1	0	236	3491	697	19	-1	
5	1	3	1	1	1	236	3491	697	19	95.000000	 
2	1	4	0	0	0	549	0	1515	53	-1	
3	1	4	1	0	0	549	0	1515	53	-1	
4	1	4	1	1	0	549	0	1515	53	-1	
5	1	4	1	1	1	549	0	1515	53	95.000000	 
2	1	5	0	0	0	1100	211	722	11	-1	
3	1	5	1	0	0	1100	211	722	11	-1	
4	1	5	1	1	0	1100	211	722	11	-1	
5	1	5	1	1	1	1100	211	722	11	95.000000	 
2	1	6	0	0	0	433	226	631	166	-1	
3	1	6	1	0	0	433	226	635	166	-1	
4	1	6	1	1	0	433	226	631	166	-1	
5	1	6	1	1	1	433	273	47	78	18.988602	θι
5	1	6	1	1	2	501	230	231	126	28.122253	Απόδημοι
5	1	6	1	1	3	753	226	68	134	83.973480	δη
5	1	6	1	1	4	757	267	307	125	10.729485	δημιουργούν
2	1	7	0	0	0	409	345	349	64	-1	
3	1	7	1	0	0	409	345	349	64	-1	
4	1	7	1	1	0	409	345	349	64	-1	
5	1	7	1	1	1	409	360	2	2	18.809853	|
5	1	7	1	1	2	426	345	123	64	4.478165	Αρχίδωμα
5	1	7	1	1	3	554	354	48	43	0.000000	αό
5	1	7	1	1	4	607	369	32	38	76.103455	τη
5	1	7	1	1	5	650	347	108	59	48.299332	Σπάρτη.
2	1	8	0	0	0	1185	244	227	114	-1	
3	1	8	1	0	0	1185	244	227	114	-1	
4	1	8	1	1	0	1188	244	223	72	-1	
5	1	8	1	1	1	1188	244	30	60	0.000000	ῃ΄
5	1	8	1	1	2	1241	262	170	54	3.775833	ΜΝΟΛΠΙΣ
4	1	8	1	2	0	1185	317	227	41	-1	
5	1	8	1	2	1	1162	320	75	56	0.000000	οτι
5	1	8	1	2	2	1253	317	181	55	6.741241	ΤΗΠΟΜΤΙ
2	1	9	0	0	0	1242	384	120	6	-1	
3	1	9	1	0	0	1242	384	120	6	-1	
4	1	9	1	1	0	1242	384	120	6	-1	
5	1	9	1	1	1	1242	384	120	6	95.000000	 
2	1	10	0	0	0	394	407	1084	127	-1	
3	1	10	1	0	0	394	407	1084	99	-1	
4	1	10	1	1	0	395	407	1029	25	-1	
5	1	10	1	1	1	395	421	25	13	34.408730	-
