level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2301	3219	-1	
2	1	1	0	0	0	208	109	462	44	-1	
3	1	1	1	0	0	208	109	462	44	-1	
4	1	1	1	1	0	208	109	462	44	-1	
5	1	1	1	1	1	208	109	462	44	91.578835	ΕΥΧΑΡΙΣΤΗΡΙΟΝ
2	1	2	0	0	0	83	179	709	240	-1	
3	1	2	1	0	0	83	179	709	240	-1	
4	1	2	1	1	0	109	179	683	33	-1	
5	1	2	1	1	1	109	179	143	23	90.068085	Δημοσιεύουμε
5	1	2	1	1	2	268	181	33	17	95.983231	πιό
5	1	2	1	1	3	318	181	51	18	88.284416	κάτω
5	1	2	1	1	4	384	182	22	22	96.654037	τή
5	1	2	1	1	5	423	183	73	22	19.755569	γεμάτη
5	1	2	1	1	6	511	183	101	23	91.960663	καλωσύνη
5	1	2	1	1	7	630	185	29	16	96.614738	καί
5	1	2	1	1	8	676	181	116	31	92.965996	εὐχαριστίες
4	1	2	1	2	0	86	215	405	24	-1	
5	1	2	1	2	1	86	215	92	22	92.391472	ἐπιστολή
5	1	2	1	2	2	190	216	34	17	95.564606	τοῦ
5	1	2	1	2	3	235	222	17	11	96.601662	κ.
5	1	2	1	2	4	267	216	78	23	35.543648	Ιωάννη
5	1	2	1	2	5	359	217	41	18	34.143227	Αθ.
5	1	2	1	2	6	413	218	78	18	89.402939	Γκλέκα.
4	1	2	1	3	0	323	252	387	30	-1	
5	1	2	1	3	1	323	252	56	27	32.821793	Ἡρός
5	1	2	1	3	2	397	253	34	26	86.509651	τήν
5	1	2	1	3	3	448	253	109	28	74.106018	ἐφημερίδα
5	1	2	1	3	4	573	255	137	27	73.773010	«Γεωργίτου
4	1	2	1	4	0	113	285	677	32	-1	
5	1	2	1	4	1	113	285	61	27	28.160034	Ίλόριε
5	1	2	1	4	2	195	286	74	27	78.132103	Δ)ντὰ,
5	1	2	1	4	3	291	289	36	23	91.685562	σᾶς
5	1	2	1	4	4	346	289	111	26	3.527649	παρακιαλῶ
5	1	2	1	4	5	479	290	82	26	60.306400	Φερμῶς
5	1	2	1	4	6	580	290	53	25	90.576736	ὅπως
5	1	2	1	4	7	655	291	135	26	14.420967	διηασιεύσετε
4	1	2	1	5	0	84	320	706	33	-1	
5	1	2	1	5	1	84	320	30	25	91.123695	τίς
5	1	2	1	5	2	132	321	23	21	84.610832	ἐκ
5	1	2	1	5	3	170	321	75	25	39.187904	ὀάδους
5	1	2	1	5	4	263	322	83	27	73.733635	χαρδίας
5	1	2	1	5	5	365	331	33	18	90.618492	µου
5	1	2	1	5	6	415	325	123	26	91.455093	εὐχαριστίες
5	1	2	1	5	7	554	325	48	28	92.361427	πρός
5	1	2	1	5	8	621	326	58	25	91.752350	ὅλους
5	1	2	1	5	9	695	326	55	26	93.281212	ὅσους
5	1	2	1	5	10	768	327	22	26	88.979050	µέ
4	1	2	1	6	0	83	355	706	33	-1	
5	1	2	1	6	1	83	355	118	28	53.682846	συνέδραµαν
5	1	2	1	6	2	219	358	51	21	62.552177	κατὰ
5	1	2	1	6	3	287	358	34	26	62.461239	τήν
5	1	2	1	6	4	339	359	18	20	93.250435	ἐν
5	1	2	1	6	5	374	360	97	26	55.161598	᾽Αμερυκῆ
5	1	2	1	6	6	488	361	101	27	40.493813	παραμονή
5	1	2	1	6	7	606	370	35	17	96.205940	µου
5	1	2	1	6	8	655	362	33	21	29.606621	στό
5	1	2	1	6	9	702	363	87	21	17.398598	Νησοκο-
4	1	2	1	7	0	107	393	530	26	-1	
