level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2291	3075	-1	
2	1	1	0	0	0	56	36	704	117	-1	
3	1	1	1	0	0	56	36	704	117	-1	
4	1	1	1	1	0	56	36	704	117	-1	
5	1	1	1	1	1	56	36	704	117	95.000000	 
2	1	2	0	0	0	49	167	705	101	-1	
3	1	2	1	0	0	49	167	705	101	-1	
4	1	2	1	1	0	328	167	152	24	-1	
5	1	2	1	1	1	328	167	152	24	22.568428	ΠΕΩΡΠΙΠΣΙ
4	1	2	1	2	0	76	199	678	35	-1	
5	1	2	1	2	1	76	199	179	24	18.428802	ΠΒΗΝΝΗΣΕΙΣ:
5	1	2	1	2	2	276	202	26	20	91.260956	Ἡ
5	1	2	1	2	3	323	202	101	28	69.142448	Παρθένα
5	1	2	1	2	4	443	204	77	27	83.880798	Κορίνη
5	1	2	1	2	5	540	204	22	22	69.382690	τό
5	1	2	1	2	6	579	205	58	27	44.466190	ένος
5	1	2	1	2	7	658	207	39	27	82.680962	Χρ,
5	1	2	1	2	8	715	207	39	26	90.205643	Δή-
4	1	2	1	3	0	49	234	675	34	-1	
5	1	2	1	3	1	49	243	39	19	65.368881	µου,
5	1	2	1	3	2	106	234	98	28	59.364780	ἀπέκπησε
5	1	2	1	3	3	222	236	22	23	90.518730	τό
5	1	2	1	3	4	262	237	79	28	93.288971	δεύτερο
5	1	2	1	3	5	356	239	102	27	6.905830	καριτοὼμι
5	1	2	1	3	6	479	248	51	17	93.249260	τους.
5	1	2	1	3	7	549	241	36	21	74.703522	Νὰ
5	1	2	1	3	8	602	242	45	24	94.401581	τούς
5	1	2	1	3	9	664	242	60	26	77.254166	ζήσει.
2	1	3	0	0	0	40	270	714	1165	-1	
3	1	3	1	0	0	48	270	706	173	-1	
4	1	3	1	1	0	77	270	677	33	-1	
5	1	3	1	1	1	77	270	38	22	0.000000	ΒΑ
5	1	3	1	1	2	149	266	104	38	46.596725	ΤΙΣΕΙΣ:
5	1	3	1	1	3	270	273	53	27	31.279259	τήν
5	1	3	1	1	4	343	274	80	26	13.441849	Αθήνα
5	1	3	1	1	5	440	275	15	21	96.628555	οἱ
5	1	3	1	1	6	473	277	148	26	1.762962	συμπατριῶτες
5	1	3	1	1	7	637	285	38	18	93.229347	µας
5	1	3	1	1	8	696	278	58	20	15.657516	Παν-
4	1	3	1	2	0	49	306	704	34	-1	
5	1	3	1	2	1	49	306	60	25	61.496155	πελής
5	1	3	1	2	2	125	307	33	21	81.501976	χαὶ
5	1	3	1	2	3	173	307	86	28	17.585686	Ἰζλαίρη
5	1	3	1	2	4	273	308	83	28	50.770882	'Τσίχλη
5	1	3	1	2	5	377	310	32	27	92.461761	(τό
5	1	3	1	2	6	424	310	57	27	87.831940	γένος
5	1	3	1	2	7	501	312	47	22	75.165802	Ἠλ.
5	1	3	1	2	8	567	312	102	27	44.433460	Ἡρατοίνη
5	1	3	1	2	9	687	313	66	27	0.000000	θάφτι-
4	1	3	1	3	0	48	341	704	34	-1	
5	1	3	1	3	1	48	349	33	13	74.527496	σαν
5	1	3	1	3	2	96	341	24	21	89.184700	τό
5	1	3	1	3	3	133	342	86	27	0.000000	ἀγορὰκι
5	1	3	1	3	4	239	352	52	16	95.094185	τους.
5	1	3	1	3	5	311	345	66	25	42.486160	Νονός
5	1	3	1	3	6	396	346	9	21	92.724571	ὁ
5	1	3	1	3	7	421	347	57	24	63.257805	Φεῖος
5	1	3	1	3	8	497	349	32	19	95.724533	τοῦ
5	1	3	1	3	9	544	349	76	26	40.333408	μικροῦ,
5	1	3	1	3	10	651	348	101	27	61.007706	Γεώργιος
4	1	3	1	4	0	55	377	644	34	-1	
5	1	3	1	4	1	55	377	26	21	32.471733	Ἠ.
5	1	3	1	4	2	95	377	123	29	36.714497	Ἡραπσίνης,
5	1	3	1	4	3	235	379	63	22	93.216499	ἔδωσε
5	1	3	1	4	4	314	380	22	23	74.864075	τό
5	1	3	1	4	5	354	380	58	27	91.382294	ὄνομα
5	1	3	1	4	6	429	381	108	28	80.005714	Γεώρηιος.
